Iteration,t_k,gradnorm,objective,time
0,0.000004,7871026.196278,247640902.158157,0.001753
1,0.000004,1294.795187,1097.525802,0.004784
2,0.000004,552.154340,1090.077503,0.008065
3,0.000004,431.228166,1088.166851,0.011861
4,0.000004,430.555663,1085.852034,0.015348
5,0.000004,429.786109,1083.142434,0.018468
6,0.000004,428.920782,1080.045756,0.022193
7,0.000004,427.960844,1076.568894,0.025573
8,0.000004,426.907382,1072.718358,0.028647
9,0.000004,425.761437,1068.500512,0.031825
10,0.000004,424.524035,1063.921716,0.035092
11,0.000004,423.196198,1058.988413,0.038182
12,0.000004,421.778955,1053.707188,0.041227
13,0.000004,420.273350,1048.084802,0.044293
14,0.000004,418.680451,1042.128213,0.047309
15,0.000004,417.001348,1035.844595,0.050328
16,0.000004,415.237161,1029.241340,0.053363
17,0.000004,413.389037,1022.326066,0.056378
18,0.000004,411.458159,1015.106611,0.059419
19,0.000004,409.445738,1007.591034,0.062441
20,0.000004,407.353021,999.787607,0.065451
21,0.000004,405.181289,991.704809,0.068465
22,0.000004,402.931854,983.351316,0.071772
23,0.000004,400.606065,974.735993,0.074809
24,0.000004,398.205303,965.867883,0.077823
25,0.000004,395.730981,956.756195,0.080846
26,0.000004,393.184547,947.410294,0.083915
27,0.000004,390.567482,937.839686,0.087026
28,0.000004,387.881296,928.054007,0.090142
29,0.000004,385.127532,918.063009,0.093215
30,0.000004,382.307764,907.876546,0.096298
31,0.000004,379.423594,897.504562,0.099378
32,0.000004,376.476655,886.957077,0.102490
33,0.000004,373.468606,876.244170,0.105610
34,0.000004,370.401135,865.375970,0.108683
35,0.000004,367.275955,854.362635,0.111719
36,0.000004,364.094805,843.214346,0.114761
37,0.000004,360.859447,831.941288,0.117786
38,0.000004,357.571669,820.553636,0.120908
39,0.000004,354.233280,809.061542,0.123958
40,0.000004,350.846110,797.475124,0.127067
41,0.000004,347.412009,785.804449,0.130536
42,0.000004,343.932848,774.059520,0.133665
43,0.000004,340.410515,762.250265,0.136733
44,0.000004,336.846915,750.386523,0.139903
45,0.000004,333.243969,738.478031,0.143018
46,0.000004,329.603613,726.534414,0.146044
47,0.000004,325.927799,714.565170,0.149605
48,0.000004,322.218488,702.579663,0.152817
49,0.000004,318.477656,690.587107,0.155869
50,0.000004,314.707287,678.596557,0.158882
51,0.000004,310.909376,666.616903,0.162573
52,0.000004,307.085926,654.656853,0.165762
53,0.000004,303.238948,642.724928,0.168822
54,0.000004,299.370458,630.829453,0.171869
55,0.000004,295.482477,618.978548,0.175539
56,0.000004,291.577030,607.180118,0.178692
57,0.000004,287.656147,595.441850,0.181946
58,0.000004,283.721857,583.771201,0.185061
59,0.000004,279.776192,572.175396,0.188619
60,0.000004,275.821182,560.661417,0.191792
61,0.000004,271.858856,549.236005,0.194831
62,0.000004,267.891241,537.905645,0.197853
63,0.000004,263.920362,526.676572,0.201598
64,0.000004,259.948238,515.554759,0.204848
65,0.000004,255.976881,504.545920,0.207878
66,0.000004,252.008299,493.655501,0.210943
67,0.000004,248.044493,482.888683,0.214231
68,0.000004,244.087453,472.250376,0.217351
69,0.000004,240.139162,461.745222,0.220412
70,0.000004,236.201591,451.377590,0.223446
71,0.000004,232.276700,441.151579,0.226499
72,0.000004,228.366438,431.071015,0.229601
73,0.000004,224.472738,421.139455,0.232633
74,0.000004,220.597521,411.360187,0.235655
75,0.000004,216.742692,401.736228,0.238812
76,0.000004,212.910139,392.270333,0.241945
