Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,7105614.510002,8540162.340000,0.000029,0.000015,0.000001
1,0.000000,158358.022319,159576.581301,0.000151,0.000005,0.000001
2,0.000000,153004.851026,151363.718578,0.000185,0.000004,0.000001
3,0.000000,146719.946562,141421.956936,0.000207,0.000003,0.000000
4,0.000000,139610.110796,130162.341800,0.000226,0.000003,0.000000
5,0.000000,131792.091860,117990.835889,0.000244,0.000004,0.000001
6,0.000000,123385.886924,105303.202390,0.000263,0.000004,0.000001
7,0.000000,114513.094258,92474.616926,0.000283,0.000003,0.000000
8,0.000000,105295.741829,79848.528584,0.000303,0.000003,0.000000
9,0.000000,95854.873178,67726.739123,0.000322,0.000003,0.000000
10,0.000000,86309.053484,56361.650586,0.000340,0.000003,0.000000
11,0.000000,76772.896396,45951.154292,0.000357,0.000003,0.000001
12,0.000000,67355.686844,36636.333209,0.000374,0.000002,0.000000
13,0.000000,58160.170404,28501.925235,0.000386,0.000003,0.000000
14,0.000000,49281.597668,21579.318134,0.000398,0.000002,0.000000
15,0.000000,40807.173565,15851.710412,0.000410,0.000002,0.000001
16,0.000000,32816.239453,11260.975061,0.000424,0.000002,0.000000
17,0.000000,25382.063479,7715.704891,0.000484,0.000003,0.000000
18,0.000000,18578.065315,5099.897851,0.000509,0.000002,0.000001
19,0.000000,12499.932512,3281.755764,0.000523,0.000002,0.000001
20,0.000000,7366.677056,2122.115700,0.000536,0.000002,0.000000
21,0.000000,4130.361636,1482.104023,0.000550,0.000002,0.000001
22,0.000000,4950.465001,1229.692012,0.000563,0.000002,0.000001
23,0.000000,7691.236056,1244.931554,0.000576,0.000002,0.000001
24,0.000000,10324.918398,1423.752154,0.000589,0.000002,0.000001
25,0.000000,12476.673339,1680.299737,0.000602,0.000002,0.000001
26,0.000000,14082.751457,1947.887069,0.000615,0.000002,0.000000
27,0.000000,15149.026214,2178.700665,0.000628,0.000002,0.000001
28,0.000000,15705.962174,2342.466099,0.000641,0.000002,0.000001
29,0.000000,15795.974810,2424.311136,0.000654,0.000003,0.000000
30,0.000000,15468.404958,2422.083615,0.000667,0.000002,0.000001
31,0.000000,14776.814790,2343.379661,0.000679,0.000002,0.000000
32,0.000000,13777.149770,2202.519907,0.000692,0.000003,0.000000
33,0.000000,12526.294855,2017.680060,0.000704,0.000002,0.000001
34,0.000000,11080.859522,1808.341115,0.000716,0.000003,0.000000
35,0.000000,9496.140939,1593.177854,0.000729,0.000002,0.000000
36,0.000000,7825.278126,1388.455837,0.000742,0.000002,0.000001
37,0.000000,6118.701007,1206.960528,0.000754,0.000002,0.000001
38,0.000000,4424.294236,1057.440636,0.000766,0.000002,0.000000
39,0.000000,2790.495378,944.513327,0.000777,0.000002,0.000001
40,0.000000,1293.895807,868.953449,0.000789,0.000002,0.000000
41,0.000000,645.746522,828.272781,0.000799,0.000002,0.000000
42,0.000000,1709.457072,817.488611,0.000848,0.000002,0.000002
43,0.000000,2822.575715,829.982866,0.000871,0.000001,0.000001
44,0.000000,3785.453751,858.362157,0.000877,0.000001,0.000000
45,0.000000,4571.684860,895.243901,0.000882,0.000001,0.000000
46,0.000000,5173.179601,933.912050,0.000887,0.000001,0.000000
47,0.000000,5589.383707,968.806112,0.000892,0.000001,0.000000
48,0.000000,5825.001983,995.827136,0.000898,0.000001,0.000000
49,0.000000,5889.020894,1012.462648,0.000903,0.000002,0.000000
50,0.000000,5794.021491,1017.747908,0.000909,0.000001,0.000000
51,0.000000,5555.572169,1012.092450,0.000914,0.000001,0.000001
52,0.000000,5191.656144,997.008323,0.000919,0.000001,0.000000
53,0.000000,4722.139374,974.779592,0.000924,0.000001,0.000000
54,0.000000,4168.317214,948.112038,0.000930,0.000001,0.000000
55,0.000000,3552.633099,919.797949,0.000935,0.000001,0.000000
56,0.000000,2898.814563,892.424482,0.000940,0.000002,0.000000
57,0.000000,2233.193365,868.145974,0.000945,0.000001,0.000000
58,0.000000,1590.142620,848.531889,0.000951,0.000001,0.000001
59,0.000000,1035.170527,834.493509,0.000956,0.000001,0.000000
60,0.000000,748.549279,826.284867,0.000962,0.000002,0.000000
61,0.000000,926.148031,823.567220,0.000968,0.000001,0.000001
62,0.000000,1330.360285,825.522005,0.000973,0.000002,0.000000
63,0.000000,1752.742969,830.994804,0.000979,0.000001,0.000000
64,0.000000,2129.596838,838.652368,0.001010,0.000002,0.000000
65,0.000000,2438.808397,847.135954,0.001016,0.000001,0.000000
66,0.000000,2671.080828,855.196835,0.001021,0.000001,0.000000
67,0.000000,2822.910309,861.803395,0.001027,0.000001,0.000000
