Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,256529688.409075,415916969.575054,14.000000,10.000000,0.000000
1,0.000000,693248.145831,427812.567928,40.000000,6.000000,0.000000
2,0.000000,634307.369907,421946.354869,59.000000,7.000000,0.000000
3,0.000000,570021.022695,415451.489785,78.000000,7.000000,0.000000
4,0.000000,503759.694348,408835.546792,97.000000,6.000000,0.000000
5,0.000000,438869.122048,402496.501854,115.000000,6.000000,0.000000
6,0.000000,378614.870354,396706.102574,133.000000,6.000000,0.000000
7,0.000000,326069.038157,391607.340695,152.000000,6.000000,0.000000
8,0.000000,283836.829490,387227.067822,169.000000,6.000000,0.000000
9,0.000000,253505.190260,383500.205290,184.000000,6.000000,0.000000
10,0.000000,234938.839656,380300.269642,202.000000,6.000000,0.000000
11,0.000000,226039.150521,377470.759743,220.000000,6.000000,1.000000
12,0.000000,223490.753380,374852.818659,238.000000,7.000000,0.000000
13,0.000000,224010.103978,372306.075179,256.000000,6.000000,0.000000
14,0.000000,225181.259524,369721.285228,274.000000,6.000000,0.000000
15,0.000000,225632.701215,367024.983056,293.000000,6.000000,1.000000
16,0.000000,224843.747602,364177.563175,311.000000,6.000000,0.000000
17,0.000000,222858.295287,361166.914250,329.000000,5.000000,0.000000
18,0.000000,220025.271225,357999.903780,347.000000,6.000000,0.000000
19,0.000000,216795.214839,354693.753326,365.000000,6.000000,0.000000
20,0.000000,213575.782159,351268.795745,384.000000,6.000000,0.000000
21,0.000000,210645.667815,347743.436364,402.000000,6.000000,0.000000
22,0.000000,208124.603631,344131.501268,420.000000,7.000000,0.000000
23,0.000000,205990.619990,340441.658759,438.000000,6.000000,0.000000
24,0.000000,204127.680341,336678.301603,455.000000,7.000000,0.000000
25,0.000000,202382.930256,332843.182790,474.000000,6.000000,0.000000
26,0.000000,200615.822179,328937.170080,492.000000,6.000000,1.000000
27,0.000000,198729.071999,324961.664316,510.000000,7.000000,0.000000
28,0.000000,196679.518264,320919.447254,528.000000,6.000000,0.000000
29,0.000000,194472.601999,316814.929100,546.000000,6.000000,0.000000
30,0.000000,192146.778568,312653.915489,565.000000,6.000000,0.000000
31,0.000000,189754.439724,308443.091441,583.000000,6.000000,0.000000
32,0.000000,187344.782131,304189.429212,599.000000,6.000000,0.000000
33,0.000000,184952.173254,299899.685138,615.000000,6.000000,0.000000
34,0.000000,182591.411065,295580.081609,633.000000,6.000000,0.000000
35,0.000000,180259.285985,291236.197855,651.000000,6.000000,0.000000
36,0.000000,177940.436384,286873.035209,669.000000,6.000000,0.000000
37,0.000000,175614.894484,282495.188972,687.000000,6.000000,0.000000
38,0.000000,173264.939187,278107.051186,705.000000,6.000000,0.000000
39,0.000000,170879.657875,273712.981700,724.000000,6.000000,0.000000
40,0.000000,168456.614229,269317.409965,742.000000,6.000000,1.000000
41,0.000000,166000.907085,264924.857861,760.000000,7.000000,0.000000
42,0.000000,163522.492960,260539.896765,778.000000,6.000000,0.000000
43,0.000000,161032.870860,256167.065709,797.000000,6.000000,0.000000
44,0.000000,158542.130823,251810.780721,815.000000,6.000000,1.000000
45,0.000000,156057.046188,247475.260211,833.000000,6.000000,0.000000
46,0.000000,153580.469709,243164.480920,851.000000,6.000000,0.000000
47,0.000000,151111.898777,238882.167533,869.000000,6.000000,0.000000
48,0.000000,148648.799905,234631.809619,887.000000,6.000000,0.000000
49,0.000000,146188.173670,230416.694134,906.000000,6.000000,0.000000
50,0.000000,143727.891909,226239.940680,925.000000,6.000000,0.000000
51,0.000000,141267.501299,222104.529226,943.000000,6.000000,1.000000
52,0.000000,138808.394265,218013.314648,961.000000,6.000000,1.000000
53,0.000000,136353.435762,213969.027379,977.000000,6.000000,0.000000
54,0.000000,133906.258845,209974.263478,995.000000,6.000000,1.000000
55,0.000000,131470.484741,206031.469541,1012.000000,6.000000,0.000000
56,0.000000,129049.090600,202142.928114,1029.000000,6.000000,0.000000
57,0.000000,126644.063853,198310.747899,1048.000000,6.000000,0.000000
58,0.000000,124256.378189,194536.860884,1066.000000,6.000000,0.000000
59,0.000000,121886.233569,190823.026262,1087.000000,6.000000,1.000000
60,0.000000,119533.443573,187170.839300,1105.000000,6.000000,0.000000
61,0.000000,117197.836952,183581.742499,1123.000000,7.000000,0.000000
62,0.000000,114879.562511,180057.036421,1141.000000,6.000000,0.000000
63,0.000000,112579.234023,176597.888305,1160.000000,6.000000,1.000000
64,0.000000,110297.907060,173205.337672,1178.000000,6.000000,0.000000
65,0.000000,108036.926392,169880.299134,1196.000000,6.000000,0.000000
66,0.000000,105797.710172,166623.563393,1214.000000,6.000000,0.000000
67,0.000000,103581.541823,163435.797684,1233.000000,6.000000,0.000000
68,0.000000,101389.425411,160317.546850,1251.000000,6.000000,1.000000
69,0.000000,99222.032965,157269.235795,1269.000000,6.000000,0.000000
70,0.000000,97079.742233,154291.173551,1287.000000,6.000000,0.000000
71,0.000000,94962.739180,151383.558705,1304.000000,6.000000,1.000000
72,0.000000,92871.146660,148546.485618,1320.000000,6.000000,0.000000
73,0.000000,90805.140522,145779.950756,1337.000000,6.000000,0.000000
74,0.000000,88765.024758,143083.858581,1356.000000,6.000000,1.000000
