Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,32416351142.912155,58387300452.100296,84.000000,81.000000,0.000000
1,0.000000,1664656.474649,2759570.462793,308.000000,76.000000,1.000000
2,0.000000,1664430.423870,2759262.551335,533.000000,90.000000,1.000000
3,0.000000,1664155.999748,2758867.974248,742.000000,79.000000,0.000000
4,0.000000,1663834.006582,2758389.001244,959.000000,77.000000,0.000000
5,0.000000,1663465.007441,2757827.060852,1151.000000,76.000000,0.000000
6,0.000000,1663049.426516,2757183.164172,1376.000000,76.000000,1.000000
7,0.000000,1662587.600757,2756458.083764,1637.000000,76.000000,0.000000
8,0.000000,1662079.808989,2755652.443767,1845.000000,76.000000,0.000000
9,0.000000,1661526.289673,2754766.770694,2060.000000,76.000000,1.000000
10,0.000000,1660927.252402,2753801.524403,2255.000000,75.000000,0.000000
11,0.000000,1660282.885678,2752757.118117,2450.000000,76.000000,0.000000
12,0.000000,1659593.362375,2751633.931975,2650.000000,76.000000,0.000000
13,0.000000,1658858.843696,2750432.322526,2885.000000,75.000000,0.000000
14,0.000000,1658079.482106,2749152.629603,3087.000000,76.000000,0.000000
15,0.000000,1657255.423556,2747795.181406,3311.000000,75.000000,0.000000
16,0.000000,1656386.809204,2746360.298344,3542.000000,76.000000,0.000000
17,0.000000,1655473.776756,2744848.296000,3750.000000,76.000000,0.000000
18,0.000000,1654516.461545,2743259.487437,3939.000000,75.000000,0.000000
19,0.000000,1653514.997386,2741594.185030,4166.000000,76.000000,0.000000
20,0.000000,1652469.517283,2739852.701929,4412.000000,86.000000,0.000000
21,0.000000,1651380.154006,2738035.353242,4637.000000,75.000000,0.000000
22,0.000000,1650247.040564,2736142.456992,4836.000000,76.000000,0.000000
23,0.000000,1649070.310612,2734174.334910,5027.000000,83.000000,0.000000
24,0.000000,1647850.098776,2732131.313082,5275.000000,76.000000,0.000000
25,0.000000,1646586.540949,2730013.722485,5531.000000,78.000000,0.000000
26,0.000000,1645279.774522,2727821.899436,5793.000000,76.000000,0.000000
27,0.000000,1643929.938597,2725556.185952,6020.000000,77.000000,0.000000
28,0.000000,1642537.174158,2723216.930070,6247.000000,78.000000,1.000000
29,0.000000,1641101.624230,2720804.486088,6474.000000,77.000000,0.000000
30,0.000000,1639623.434005,2718319.214784,6675.000000,78.000000,0.000000
31,0.000000,1638102.750960,2715761.483586,6862.000000,76.000000,0.000000
32,0.000000,1636539.724953,2713131.666711,7041.000000,76.000000,0.000000
33,0.000000,1634934.508310,2710430.145278,7238.000000,77.000000,1.000000
34,0.000000,1633287.255899,2707657.307398,7442.000000,77.000000,0.000000
35,0.000000,1631598.125199,2704813.548238,7643.000000,76.000000,0.000000
36,0.000000,1629867.276351,2701899.270079,7859.000000,78.000000,0.000000
37,0.000000,1628094.872208,2698914.882338,8076.000000,78.000000,0.000000
38,0.000000,1626281.078384,2695860.801599,8261.000000,76.000000,0.000000
39,0.000000,1624426.063283,2692737.451610,8474.000000,78.000000,0.000000
40,0.000000,1622529.998134,2689545.263285,8725.000000,76.000000,0.000000
41,0.000000,1620593.057021,2686284.674689,8946.000000,76.000000,1.000000
42,0.000000,1618615.416902,2682956.131008,9138.000000,76.000000,1.000000
43,0.000000,1616597.257630,2679560.084527,9323.000000,76.000000,0.000000
44,0.000000,1614538.761972,2676096.994584,9525.000000,76.000000,0.000000
45,0.000000,1612440.115617,2672567.327522,9705.000000,77.000000,0.000000
46,0.000000,1610301.507193,2668971.556647,9929.000000,76.000000,0.000000
47,0.000000,1608123.128272,2665310.162156,10174.000000,76.000000,0.000000
48,0.000000,1605905.173375,2661583.631087,10434.000000,92.000000,0.000000
49,0.000000,1603647.839980,2657792.457242,10801.000000,107.000000,0.000000
50,0.000000,1601351.328519,2653937.141117,11089.000000,104.000000,1.000000
51,0.000000,1599015.842385,2650018.189828,11362.000000,105.000000,1.000000
52,0.000000,1596641.587926,2646036.117025,11636.000000,104.000000,0.000000
53,0.000000,1594228.774444,2641991.442814,11902.000000,98.000000,1.000000
54,0.000000,1591777.614194,2637884.693663,12093.000000,71.000000,0.000000
55,0.000000,1589288.322374,2633716.402318,12321.000000,78.000000,1.000000
56,0.000000,1586761.117123,2629487.107702,12612.000000,105.000000,1.000000
57,0.000000,1584196.219513,2625197.354827,12904.000000,111.000000,0.000000
58,0.000000,1581593.853538,2620847.694687,13184.000000,106.000000,0.000000
59,0.000000,1578954.246111,2616438.684160,13467.000000,102.000000,1.000000
60,0.000000,1576277.627046,2611970.885904,13745.000000,103.000000,0.000000
61,0.000000,1573564.229054,2607444.868253,14023.000000,105.000000,0.000000
62,0.000000,1570814.287728,2602861.205104,14305.000000,103.000000,1.000000
63,0.000000,1568028.041530,2598220.475810,14584.000000,104.000000,0.000000
64,0.000000,1565205.731781,2593523.265069,14855.000000,104.000000,0.000000
65,0.000000,1562347.602644,2588770.162806,15126.000000,103.000000,0.000000
66,0.000000,1559453.901112,2583961.764065,15406.000000,102.000000,0.000000
67,0.000000,1556524.876989,2579098.668883,15686.000000,105.000000,1.000000
68,0.000000,1553560.782882,2574181.482178,15967.000000,103.000000,0.000000
69,0.000000,1550561.874175,2569210.813629,16255.000000,113.000000,0.000000
70,0.000000,1547528.409021,2564187.277550,16576.000000,107.000000,1.000000
71,0.000000,1544460.648319,2559111.492773,16850.000000,107.000000,0.000000
72,0.000000,1541358.855699,2553984.082521,17103.000000,85.000000,1.000000
73,0.000000,1538223.297503,2548805.674285,17353.000000,76.000000,0.000000
74,0.000000,1535054.242765,2543576.899699,17585.000000,76.000000,0.000000
75,0.000000,1531851.963195,2538298.394409,17778.000000,76.000000,0.000000
