Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000399,23861.094883,227164.766039,15.000000,9.000000,1.000000
1,0.000399,39.553942,92.030650,50.000000,9.000000,0.000000
2,0.000399,39.084976,90.788490,78.000000,9.000000,1.000000
3,0.000399,38.523795,89.227694,106.000000,9.000000,0.000000
4,0.000399,37.876240,87.377681,135.000000,9.000000,0.000000
5,0.000399,37.148115,85.266975,164.000000,9.000000,0.000000
6,0.000399,36.345363,82.924492,191.000000,9.000000,0.000000
7,0.000399,35.474134,80.379779,218.000000,8.000000,0.000000
8,0.000399,34.540803,77.662899,246.000000,9.000000,0.000000
9,0.000399,33.551964,74.804136,275.000000,9.000000,0.000000
10,0.000399,32.514406,71.833638,302.000000,9.000000,1.000000
11,0.000399,31.435083,68.781036,330.000000,9.000000,0.000000
12,0.000399,30.321077,65.675059,358.000000,9.000000,0.000000
13,0.000399,29.179563,62.543174,384.000000,9.000000,1.000000
14,0.000399,28.017759,59.411258,412.000000,9.000000,1.000000
15,0.000399,26.842887,56.303308,440.000000,9.000000,1.000000
16,0.000399,25.662129,53.241204,467.000000,9.000000,0.000000
17,0.000399,24.482577,50.244516,495.000000,9.000000,1.000000
18,0.000399,23.311186,47.330374,523.000000,9.000000,1.000000
19,0.000399,22.154726,44.513387,551.000000,9.000000,1.000000
20,0.000399,21.019731,41.805613,579.000000,9.000000,0.000000
21,0.000399,19.912438,39.216586,606.000000,9.000000,0.000000
22,0.000399,18.838732,36.753385,635.000000,9.000000,0.000000
23,0.000399,17.804077,34.420747,661.000000,9.000000,0.000000
24,0.000399,16.813444,32.221219,689.000000,9.000000,0.000000
25,0.000399,15.871228,30.155337,716.000000,9.000000,1.000000
26,0.000399,14.981161,28.221832,744.000000,9.000000,0.000000
27,0.000399,14.146216,26.417853,770.000000,9.000000,0.000000
28,0.000399,13.368514,24.739201,797.000000,9.000000,0.000000
29,0.000399,12.649228,23.180569,823.000000,8.000000,0.000000
30,0.000399,11.988517,21.735780,851.000000,9.000000,0.000000
31,0.000399,11.385474,20.398016,878.000000,9.000000,0.000000
32,0.000399,10.838120,19.160039,905.000000,9.000000,0.000000
33,0.000399,10.343458,18.014392,931.000000,9.000000,0.000000
34,0.000399,9.897573,16.953583,959.000000,9.000000,1.000000
35,0.000399,9.495798,15.970250,986.000000,9.000000,0.000000
36,0.000399,9.132923,15.057293,1011.000000,9.000000,1.000000
37,0.000399,8.803433,14.207987,1038.000000,9.000000,0.000000
38,0.000399,8.501755,13.416075,1066.000000,9.000000,0.000000
39,0.000399,8.222488,12.675824,1092.000000,9.000000,0.000000
40,0.000399,7.960603,11.982068,1119.000000,9.000000,0.000000
41,0.000399,7.711596,11.330225,1147.000000,9.000000,0.000000
42,0.000399,7.471600,10.716298,1174.000000,9.000000,0.000000
43,0.000399,7.237440,10.136849,1201.000000,9.000000,0.000000
44,0.000399,7.006660,9.588975,1228.000000,9.000000,0.000000
