Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,8943379.217452,13891163.949897,0.000028,0.000024,0.000000
1,0.000000,185990.958367,252388.983991,0.000105,0.000018,0.000001
2,0.000000,180263.813690,240735.713883,0.000148,0.000018,0.000000
3,0.000000,173529.857139,226556.040016,0.000192,0.000018,0.000000
4,0.000000,165890.506306,210393.694838,0.000234,0.000018,0.000000
5,0.000000,157462.447005,192788.700010,0.000393,0.000018,0.000000
6,0.000000,148366.634067,174272.786779,0.000436,0.000018,0.000000
7,0.000000,138726.239618,155357.200836,0.000478,0.000018,0.000001
8,0.000000,128665.675670,136518.737474,0.000523,0.000020,0.000000
9,0.000000,118309.350093,118186.681046,0.000567,0.000018,0.000000
10,0.000000,107780.329031,100731.951531,0.000632,0.000020,0.000000
11,0.000000,97199.016768,84459.152984,0.000677,0.000019,0.000000
12,0.000000,86681.943258,69601.853670,0.000720,0.000018,0.000000
13,0.000000,76340.754762,56321.161154,0.000763,0.000019,0.000000
14,0.000000,66281.537577,44707.443481,0.000806,0.000018,0.000001
15,0.000000,56604.692146,34784.877240,0.000851,0.000020,0.000000
16,0.000000,47405.778816,26518.372333,0.000892,0.000018,0.000000
17,0.000000,38778.248628,19822.331968,0.000936,0.000020,0.000000
18,0.000000,30820.234320,14570.654776,0.000987,0.000018,0.000000
19,0.000000,23651.027508,10607.372763,0.001030,0.000018,0.000000
20,0.000000,17452.484132,7757.341132,0.001076,0.000020,0.000000
21,0.000000,12571.102153,5836.449220,0.001122,0.000019,0.000000
22,0.000000,9669.073679,4660.900037,0.001177,0.000019,0.000001
23,0.000000,9328.031248,4055.202248,0.001218,0.000017,0.000000
24,0.000000,10844.861343,3858.625655,0.001262,0.000020,0.000000
25,0.000000,12950.780331,3929.981860,0.001314,0.000017,0.000001
26,0.000000,14946.925688,4150.699042,0.001359,0.000019,0.000001
27,0.000000,16563.550431,4426.257549,0.001414,0.000020,0.000000
28,0.000000,17709.572468,4686.136333,0.001456,0.000018,0.000000
29,0.000000,18367.891596,4882.485663,0.001500,0.000019,0.000001
30,0.000000,18555.977885,4987.786856,0.001551,0.000017,0.000000
31,0.000000,18309.592333,4991.784321,0.001608,0.000032,0.000000
32,0.000000,17675.118836,4897.979814,0.001660,0.000018,0.000000
33,0.000000,16705.451777,4719.965213,0.001706,0.000021,0.000000
34,0.000000,15457.563119,4477.841371,0.001749,0.000017,0.000000
35,0.000000,13991.049967,4194.930099,0.001800,0.000017,0.000000
36,0.000000,12367.498662,3894.938093,0.001841,0.000017,0.000000
37,0.000000,10650.896271,3599.679548,0.001885,0.000017,0.000000
38,0.000000,8909.893524,3327.412233,0.001937,0.000017,0.000001
39,0.000000,7223.917772,3091.793196,0.001996,0.000018,0.000000
40,0.000000,5697.486978,2901.417909,0.002056,0.000018,0.000000
41,0.000000,4487.457560,2759.872509,0.002097,0.000017,0.000000
42,0.000000,3814.599684,2666.204211,0.002141,0.000020,0.000000
43,0.000000,3821.685822,2615.700275,0.002192,0.000018,0.000000
44,0.000000,4350.376763,2600.860981,0.002232,0.000018,0.000000
45,0.000000,5101.046863,2612.455878,0.002272,0.000018,0.000000
46,0.000000,5867.123003,2640.563785,0.002316,0.000019,0.000001
47,0.000000,6542.982932,2675.513815,0.002367,0.000017,0.000000
48,0.000000,7077.716803,2708.665161,0.002412,0.000019,0.000000
49,0.000000,7448.087233,2732.985565,0.002465,0.000018,0.000000
50,0.000000,7646.180020,2743.410378,0.002510,0.000020,0.000000
51,0.000000,7673.642548,2736.984392,0.002560,0.000018,0.000000
52,0.000000,7538.720423,2712.805830,0.002616,0.000032,0.000000
53,0.000000,7254.539996,2671.805154,0.002668,0.000017,0.000000
54,0.000000,6838.002907,2616.400222,0.002709,0.000017,0.000001
55,0.000000,6309.043897,2550.073660,0.002750,0.000017,0.000000
56,0.000000,5690.193464,2476.918390,0.002795,0.000020,0.000000
57,0.000000,5006.531878,2401.193652,0.002839,0.000018,0.000000
58,0.000000,4286.325305,2326.927281,0.002883,0.000018,0.000000
59,0.000000,3563.045939,2257.591428,0.002927,0.000017,0.000001
60,0.000000,2880.306772,2195.869206,0.002994,0.000018,0.000000
61,0.000000,2301.942259,2143.519918,0.003034,0.000016,0.000000
62,0.000000,1922.267112,2101.341303,0.003072,0.000016,0.000000
63,0.000000,1833.388532,2069.219335,0.003157,0.000021,0.000000
64,0.000000,2021.003486,2046.250002,0.003209,0.000018,0.000000
65,0.000000,2364.632267,2030.913444,0.003252,0.000019,0.000000
66,0.000000,2753.288982,2021.278937,0.003293,0.000018,0.000000
67,0.000000,3122.658893,2015.219293,0.003339,0.000020,0.000000
68,0.000000,3439.303314,2010.615203,0.003381,0.000018,0.000001
69,0.000000,3686.108131,2005.533301,0.003424,0.000018,0.000000
70,0.000000,3854.997443,1998.366003,0.003464,0.000018,0.000000
71,0.000000,3943.524787,1987.925920,0.003510,0.000020,0.000000
72,0.000000,3953.183085,1973.492388,0.003556,0.000020,0.000000
73,0.000000,3888.480669,1954.812089,0.003598,0.000018,0.000000
74,0.000000,3756.384855,1932.059403,0.003641,0.000019,0.000001
75,0.000000,3565.970519,1905.764911,0.003683,0.000017,0.000001
76,0.000000,3328.217735,1876.722192,0.003725,0.000018,0.000000
77,0.000000,3055.957083,1845.883683,0.003766,0.000018,0.000000
78,0.000000,2763.988977,1814.256014,0.003806,0.000017,0.000000
79,0.000000,2469.391120,1782.804020,0.003846,0.000018,0.000000
80,0.000000,2191.897125,1752.370760,0.003886,0.000018,0.000000
81,0.000000,1953.784256,1723.618578,0.003930,0.000020,0.000000
82,0.000000,1777.785791,1696.993814,0.003977,0.000019,0.000001
83,0.000000,1681.099260,1672.715359,0.004022,0.000019,0.000000
84,0.000000,1666.855519,1650.785142,0.004062,0.000017,0.000000
85,0.000000,1720.732768,1631.016894,0.004103,0.000018,0.000000
86,0.000000,1817.646955,1613.078377,0.004146,0.000019,0.000000
87,0.000000,1931.869434,1596.541619,0.004204,0.000020,0.000000
88,0.000000,2042.796565,1580.935613,0.004255,0.000018,0.000000
89,0.000000,2136.015899,1565.796393,0.004296,0.000018,0.000000
90,0.000000,2202.376969,1550.710208,0.004336,0.000017,0.000000
91,0.000000,2236.779581,1535.346647,0.004377,0.000018,0.000000
92,0.000000,2237.211225,1519.479852,0.004421,0.000019,0.000000
93,0.000000,2204.076611,1502.997234,0.004474,0.000018,0.000000
94,0.000000,2139.748795,1485.896340,0.004518,0.000017,0.000000
95,0.000000,2048.274514,1468.271533,0.004562,0.000019,0.000000
96,0.000000,1935.188829,1450.292881,0.004615,0.000020,0.000000
97,0.000000,1807.407557,1432.180132,0.004656,0.000017,0.000000
98,0.000000,1673.157358,1414.174781,0.004701,0.000020,0.000000
