Iteration,t_k,gradnorm,objective,time
0,0.000004,7871026.196278,247640902.158157,0.002612
1,0.000004,1294.795187,1097.525802,0.006188
2,0.000004,431.906037,1090.077503,0.009466
3,0.000004,431.537195,1088.586669,0.013846
4,0.000004,431.168784,1087.098378,0.018250
5,0.000004,430.800763,1085.612624,0.022409
6,0.000004,430.433129,1084.129404,0.027370
7,0.000004,430.065884,1082.648712,0.032256
8,0.000004,429.699027,1081.170543,0.036506
9,0.000004,429.332557,1079.694893,0.041686
10,0.000004,428.966474,1078.221757,0.046065
11,0.000004,428.600777,1076.751130,0.050658
12,0.000004,428.235466,1075.283007,0.054490
13,0.000004,427.870541,1073.817383,0.057942
14,0.000004,427.506001,1072.354255,0.062494
15,0.000004,427.141845,1070.893616,0.067007
16,0.000004,426.778074,1069.435462,0.070332
17,0.000004,426.414686,1067.979789,0.073703
18,0.000004,426.051682,1066.526591,0.077337
19,0.000004,425.689061,1065.075865,0.080663
20,0.000004,425.326822,1063.627604,0.083721
21,0.000004,424.964965,1062.181806,0.086922
22,0.000004,424.603490,1060.738464,0.090311
23,0.000004,424.242395,1059.297575,0.093492
24,0.000004,423.881682,1057.859133,0.096659
25,0.000004,423.521349,1056.423134,0.099834
26,0.000004,423.161396,1054.989573,0.103396
27,0.000004,422.801822,1053.558446,0.106540
28,0.000004,422.442627,1052.129748,0.109565
29,0.000004,422.083810,1050.703474,0.112639
30,0.000004,421.725372,1049.279621,0.116105
31,0.000004,421.367311,1047.858182,0.119240
32,0.000004,421.009628,1046.439154,0.122269
33,0.000004,420.652322,1045.022531,0.125311
34,0.000004,420.295391,1043.608311,0.128692
35,0.000004,419.938837,1042.196487,0.131922
36,0.000004,419.582658,1040.787055,0.134939
37,0.000004,419.226855,1039.380011,0.137985
38,0.000004,418.871426,1037.975351,0.141322
39,0.000004,418.516371,1036.573069,0.144484
40,0.000004,418.161690,1035.173161,0.147518
41,0.000004,417.807383,1033.775623,0.150772
42,0.000004,417.453448,1032.380450,0.154335
43,0.000004,417.099887,1030.987638,0.157439
44,0.000004,416.746697,1029.597182,0.160614
45,0.000004,416.393879,1028.209078,0.163691
46,0.000004,416.041432,1026.823321,0.166910
47,0.000004,415.689356,1025.439906,0.169979
48,0.000004,415.337650,1024.058831,0.173037
49,0.000004,414.986314,1022.680089,0.176060
50,0.000004,414.635348,1021.303676,0.179115
51,0.000004,414.284751,1019.929589,0.182220
52,0.000004,413.934523,1018.557822,0.185263
53,0.000004,413.584663,1017.188372,0.188486
54,0.000004,413.235171,1015.821233,0.191734
55,0.000004,412.886046,1014.456402,0.194816
56,0.000004,412.537289,1013.093875,0.197851
57,0.000004,412.188898,1011.733646,0.200870
58,0.000004,411.840873,1010.375711,0.204178
59,0.000004,411.493215,1009.020066,0.207382
60,0.000004,411.145921,1007.666708,0.210438
61,0.000004,410.798993,1006.315630,0.213474
62,0.000004,410.452429,1004.966830,0.216565
63,0.000004,410.106229,1003.620302,0.220180
64,0.000004,409.760393,1002.276043,0.223605
65,0.000004,409.414920,1000.934048,0.226730
66,0.000004,409.069810,999.594313,0.229909
67,0.000004,408.725062,998.256834,0.233481
68,0.000004,408.380677,996.921606,0.236882
69,0.000004,408.036653,995.588625,0.239953
70,0.000004,407.692991,994.257887,0.243138
71,0.000004,407.349689,992.929387,0.246665
72,0.000004,407.006747,991.603122,0.250019
73,0.000004,406.664166,990.279087,0.253235
74,0.000004,406.321944,988.957278,0.256405
75,0.000004,405.980082,987.637691,0.259517
76,0.000004,405.638578,986.320321,0.262734
77,0.000004,405.297433,985.005165,0.265877
78,0.000004,404.956645,983.692217,0.269140
79,0.000004,404.616215,982.381475,0.272659
80,0.000004,404.276142,981.072934,0.275756
81,0.000004,403.936426,979.766589,0.278801
82,0.000004,403.597067,978.462437,0.281990
83,0.000004,403.258063,977.160473,0.285219
84,0.000004,402.919414,975.860693,0.288651
85,0.000004,402.581121,974.563094,0.291738
86,0.000004,402.243183,973.267670,0.295098
87,0.000004,401.905599,971.974419,0.298879
88,0.000004,401.568368,970.683335,0.302179
89,0.000004,401.231491,969.394415,0.305247
90,0.000004,400.894968,968.107655,0.308531
91,0.000004,400.558797,966.823050,0.312164
92,0.000004,400.222978,965.540597,0.315414
93,0.000004,399.887511,964.260291,0.318453
94,0.000004,399.552396,962.982128,0.321777
95,0.000004,399.217631,961.706105,0.325214
96,0.000004,398.883218,960.432218,0.328349
97,0.000004,398.549154,959.160461,0.331419
98,0.000004,398.215441,957.890832,0.334702
99,0.000004,397.882077,956.623326,0.338105
100,0.000004,397.549062,955.357940,0.341232
101,0.000004,397.216396,954.094669,0.344264
102,0.000004,396.884078,952.833509,0.347596
103,0.000004,396.552108,951.574456,0.350965
104,0.000004,396.220485,950.317507,0.354144
105,0.000004,395.889210,949.062658,0.357404
106,0.000004,395.558281,947.809903,0.360731
107,0.000004,395.227699,946.559241,0.364243
108,0.000004,394.897462,945.310666,0.367447
109,0.000004,394.567571,944.064174,0.370515
110,0.000004,394.238026,942.819763,0.373651
111,0.000004,393.908825,941.577427,0.377414
112,0.000004,393.579968,940.337163,0.380645
113,0.000004,393.251455,939.098968,0.383695
114,0.000004,392.923286,937.862836,0.387116
115,0.000004,392.595460,936.628765,0.390193
116,0.000004,392.267977,935.396750,0.393255
117,0.000004,391.940836,934.166787,0.396277
118,0.000004,391.614037,932.938874,0.399474
119,0.000004,391.287580,931.713005,0.402622
120,0.000004,390.961464,930.489177,0.405684
121,0.000004,390.635689,929.267387,0.408796
122,0.000004,390.310254,928.047630,0.412102
123,0.000004,389.985159,926.829902,0.415240
124,0.000004,389.660404,925.614200,0.418257
125,0.000004,389.335989,924.400520,0.421288
126,0.000004,389.011912,923.188858,0.424467
127,0.000004,388.688174,921.979211,0.427613
128,0.000004,388.364774,920.771574,0.430678
129,0.000004,388.041711,919.565944,0.433698
130,0.000004,387.718986,918.362317,0.436729
131,0.000004,387.396598,917.160689,0.439972
132,0.000004,387.074547,915.961057,0.443082
133,0.000004,386.752832,914.763416,0.446114
134,0.000004,386.431453,913.567764,0.449131
135,0.000004,386.110409,912.374096,0.452221
136,0.000004,385.789700,911.182409,0.455399
137,0.000004,385.469326,909.992698,0.458454
138,0.000004,385.149286,908.804961,0.461498
139,0.000004,384.829580,907.619193,0.464792
140,0.000004,384.510208,906.435392,0.467977
141,0.000004,384.191169,905.253552,0.471011
142,0.000004,383.872462,904.073671,0.474050
143,0.000004,383.554088,902.895744,0.477235
144,0.000004,383.236046,901.719769,0.480414
145,0.000004,382.918336,900.545741,0.483457
146,0.000004,382.600957,899.373658,0.486484
147,0.000004,382.283909,898.203514,0.489711
148,0.000004,381.967192,897.035307,0.492957
149,0.000004,381.650804,895.869033,0.496095
150,0.000004,381.334747,894.704688,0.499427
151,0.000004,381.019018,893.542270,0.502714
152,0.000004,380.703619,892.381773,0.506070
153,0.000004,380.388549,891.223195,0.509259
154,0.000004,380.073807,890.066532,0.512309
155,0.000004,379.759392,888.911780,0.515357
156,0.000004,379.445305,887.758936,0.518641
157,0.000004,379.131546,886.607997,0.521851
158,0.000004,378.818113,885.458958,0.524896
159,0.000004,378.505007,884.311816,0.527916
160,0.000004,378.192226,883.166568,0.531225
161,0.000004,377.879772,882.023210,0.534282
162,0.000004,377.567642,880.881739,0.537318
163,0.000004,377.255838,879.742151,0.540336
164,0.000004,376.944358,878.604442,0.543561
165,0.000004,376.633202,877.468610,0.546672
166,0.000004,376.322371,876.334650,0.549701
167,0.000004,376.011862,875.202558,0.552786
168,0.000004,375.701677,874.072333,0.555977
169,0.000004,375.391815,872.943970,0.559075
170,0.000004,375.082275,871.817465,0.562107
171,0.000004,374.773057,870.692815,0.565165
172,0.000004,374.464160,869.570017,0.568350
173,0.000004,374.155585,868.449068,0.571516
174,0.000004,373.847331,867.329963,0.574540
175,0.000004,373.539397,866.212699,0.577570
176,0.000004,373.231783,865.097274,0.580825
177,0.000004,372.924490,863.983683,0.584208
178,0.000004,372.617515,862.871923,0.587413
179,0.000004,372.310860,861.761990,0.590465
180,0.000004,372.004524,860.653883,0.593727
181,0.000004,371.698506,859.547595,0.597098
182,0.000004,371.392806,858.443126,0.600229
183,0.000004,371.087423,857.340471,0.603250
184,0.000004,370.782358,856.239626,0.606422
185,0.000004,370.477610,855.140589,0.610017
186,0.000004,370.173178,854.043355,0.613298
187,0.000004,369.869063,852.947923,0.616347
188,0.000004,369.565263,851.854288,0.619502
189,0.000004,369.261779,850.762447,0.623086
190,0.000004,368.958610,849.672396,0.626370
191,0.000004,368.655756,848.584133,0.629446
192,0.000004,368.353216,847.497653,0.632625
193,0.000004,368.050990,846.412955,0.636247
194,0.000004,367.749078,845.330034,0.639597
195,0.000004,367.447480,844.248887,0.642662
196,0.000004,367.146194,843.169510,0.645904
197,0.000004,366.845221,842.091902,0.649358
198,0.000004,366.544560,841.016057,0.652530
199,0.000004,366.244211,839.941974,0.655711
200,0.000004,365.944174,838.869648,0.658822
201,0.000004,365.644448,837.799076,0.662436
202,0.000004,365.345033,836.730256,0.665620
203,0.000004,365.045928,835.663184,0.668770
204,0.000004,364.747134,834.597856,0.671944
205,0.000004,364.448649,833.534270,0.675250
206,0.000004,364.150474,832.472422,0.678426
207,0.000004,363.852608,831.412309,0.681543
208,0.000004,363.555051,830.353927,0.684847
209,0.000004,363.257802,829.297275,0.688345
210,0.000004,362.960861,828.242347,0.691585
211,0.000004,362.664228,827.189142,0.694712
212,0.000004,362.367902,826.137656,0.698045
213,0.000004,362.071883,825.087886,0.701300
214,0.000004,361.776171,824.039828,0.704390
215,0.000004,361.480765,822.993480,0.707646
216,0.000004,361.185666,821.948838,0.710768
217,0.000004,360.890872,820.905899,0.714106
218,0.000004,360.596383,819.864660,0.717235
219,0.000004,360.302199,818.825118,0.720294
220,0.000004,360.008319,817.787270,0.723592
221,0.000004,359.714744,816.751112,0.726917
222,0.000004,359.421473,815.716642,0.729995
223,0.000004,359.128506,814.683856,0.733032
224,0.000004,358.835841,813.652751,0.736296
225,0.000004,358.543480,812.623324,0.739746
226,0.000004,358.251421,811.595572,0.742922
227,0.000004,357.959664,810.569493,0.745975
228,0.000004,357.668209,809.545082,0.749301
229,0.000004,357.377055,808.522336,0.752723
230,0.000004,357.086203,807.501254,0.755925
231,0.000004,356.795651,806.481831,0.758993
232,0.000004,356.505400,805.464064,0.762252
233,0.000004,356.215450,804.447951,0.765701
234,0.000004,355.925798,803.433488,0.768940
235,0.000004,355.636447,802.420673,0.772003
236,0.000004,355.347394,801.409502,0.775226
237,0.000004,355.058641,800.399972,0.778676
238,0.000004,354.770185,799.392081,0.782013
239,0.000004,354.482028,798.385825,0.785065
240,0.000004,354.194169,797.381201,0.788337
241,0.000004,353.906607,796.378206,0.791777
242,0.000004,353.619342,795.376837,0.795030
243,0.000004,353.332374,794.377092,0.798068
244,0.000004,353.045702,793.378967,0.801410
245,0.000004,352.759326,792.382459,0.804760
246,0.000004,352.473246,791.387565,0.807866
