Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,7105614.510002,8540162.340000,0.000014,0.000003,0.000000
1,0.000000,158358.022319,159576.581301,0.000044,0.000001,0.000000
2,0.000000,154177.990542,151363.718578,0.000051,0.000001,0.000001
3,0.000000,150120.441309,143578.092576,0.000056,0.000001,0.000000
4,0.000000,146169.907212,136196.861931,0.000062,0.000001,0.000001
5,0.000000,142323.569074,129198.999453,0.000067,0.000001,0.000000
6,0.000000,138578.682029,122564.571576,0.000073,0.000001,0.000000
7,0.000000,134932.573567,116274.681473,0.000078,0.000001,0.000000
8,0.000000,131382.641627,110311.415135,0.000084,0.000001,0.000001
9,0.000000,127926.352740,104657.790248,0.000089,0.000001,0.000000
10,0.000000,124561.240218,99297.707736,0.000094,0.000001,0.000000
11,0.000000,121284.902401,94215.905820,0.000100,0.000001,0.000001
12,0.000000,118095.000938,89397.916467,0.000105,0.000001,0.000000
13,0.000000,114989.259121,84830.024104,0.000111,0.000001,0.000000
14,0.000000,111965.460259,80499.226484,0.000116,0.000001,0.000000
15,0.000000,109021.446100,76393.197582,0.000121,0.000001,0.000000
16,0.000000,106155.115287,72500.252421,0.000127,0.000001,0.000000
17,0.000000,103364.421859,68809.313732,0.000132,0.000001,0.000000
18,0.000000,100647.373796,65309.880346,0.000138,0.000001,0.000000
19,0.000000,98002.031592,61991.997225,0.000143,0.000001,0.000000
20,0.000000,95426.506872,58846.227063,0.000148,0.000001,0.000000
21,0.000000,92918.961050,55863.623351,0.000154,0.000001,0.000001
22,0.000000,90477.604010,53035.704856,0.000159,0.000001,0.000000
23,0.000000,88100.692833,50354.431416,0.000165,0.000001,0.000001
24,0.000000,85786.530552,47812.180999,0.000170,0.000001,0.000000
25,0.000000,83533.464941,45401.727960,0.000175,0.000001,0.000000
26,0.000000,81339.887336,43116.222418,0.000228,0.000001,0.000000
27,0.000000,79204.231489,40949.170717,0.000234,0.000001,0.000000
28,0.000000,77124.972446,38894.416894,0.000240,0.000001,0.000000
29,0.000000,75100.625466,36946.125117,0.000245,0.000001,0.000000
30,0.000000,73129.744951,35098.763036,0.000251,0.000001,0.000000
31,0.000000,71210.923426,33347.085995,0.000256,0.000001,0.000000
32,0.000000,69342.790525,31686.122072,0.000261,0.000001,0.000000
33,0.000000,67524.012020,30111.157890,0.000266,0.000001,0.000000
34,0.000000,65753.288863,28617.725174,0.000272,0.000001,0.000001
35,0.000000,64029.356263,27201.587999,0.000277,0.000001,0.000000
36,0.000000,62350.982783,25858.730710,0.000282,0.000001,0.000000
37,0.000000,60716.969459,24585.346460,0.000288,0.000001,0.000001
38,0.000000,59126.148944,23377.826355,0.000293,0.000001,0.000000
39,0.000000,57577.384679,22232.749153,0.000298,0.000001,0.000000
40,0.000000,56069.570076,21146.871511,0.000303,0.000001,0.000000
41,0.000000,54601.627733,20117.118726,0.000309,0.000001,0.000001
42,0.000000,53172.508661,19140.575966,0.000314,0.000001,0.000000
43,0.000000,51781.191540,18214.479959,0.000319,0.000001,0.000000
44,0.000000,50426.681983,17336.211104,0.000325,0.000001,0.000000
45,0.000000,49108.011833,16503.286004,0.000330,0.000002,0.000000
46,0.000000,47824.238468,15713.350379,0.000335,0.000001,0.000000
47,0.000000,46574.444128,14964.172353,0.000341,0.000001,0.000001
48,0.000000,45357.735260,14253.636086,0.000346,0.000002,0.000000
49,0.000000,44173.241883,13579.735740,0.000351,0.000001,0.000000
50,0.000000,43020.116960,12940.569758,0.000356,0.000001,0.000000
51,0.000000,41897.535802,12334.335440,0.000362,0.000001,0.000000
52,0.000000,40804.695470,11759.323804,0.000367,0.000001,0.000001
53,0.000000,39740.814208,11213.914708,0.000372,0.000001,0.000000
54,0.000000,38705.130882,10696.572233,0.000378,0.000001,0.000000
55,0.000000,37696.904437,10205.840301,0.000383,0.000001,0.000001
56,0.000000,36715.413365,9740.338524,0.000388,0.000002,0.000000
57,0.000000,35759.955194,9298.758266,0.000393,0.000001,0.000000
58,0.000000,34829.845983,8879.858912,0.000399,0.000001,0.000000
59,0.000000,33924.419835,8482.464334,0.000404,0.000001,0.000001
60,0.000000,33043.028417,8105.459532,0.000409,0.000001,0.000000
61,0.000000,32185.040504,7747.787456,0.000415,0.000001,0.000000
62,0.000000,31349.841520,7408.445996,0.000423,0.000001,0.000000
63,0.000000,30536.833104,7086.485123,0.000428,0.000001,0.000000
64,0.000000,29745.432679,6781.004177,0.000434,0.000001,0.000001
65,0.000000,28975.073038,6491.149306,0.000439,0.000001,0.000000
66,0.000000,28225.201936,6216.111028,0.000444,0.000001,0.000000
67,0.000000,27495.281696,5955.121922,0.000450,0.000001,0.000000
68,0.000000,26784.788825,5707.454446,0.000455,0.000001,0.000001
69,0.000000,26093.213637,5472.418859,0.000460,0.000002,0.000000
70,0.000000,25420.059892,5249.361256,0.000465,0.000001,0.000000
71,0.000000,24764.844436,5037.661707,0.000470,0.000001,0.000000
72,0.000000,24127.096861,4836.732486,0.000476,0.000001,0.000000
73,0.000000,23506.359162,4646.016401,0.000481,0.000001,0.000001
74,0.000000,22902.185412,4464.985203,0.000486,0.000001,0.000000
75,0.000000,22314.141444,4293.138082,0.000492,0.000001,0.000000
76,0.000000,21741.804536,4130.000241,0.000497,0.000001,0.000000
77,0.000000,21184.763111,3975.121543,0.000502,0.000001,0.000000
78,0.000000,20642.616441,3828.075227,0.000508,0.000001,0.000000
79,0.000000,20114.974358,3688.456697,0.000513,0.000002,0.000000
80,0.000000,19601.456978,3555.882364,0.000518,0.000001,0.000000
81,0.000000,19101.694423,3429.988557,0.000523,0.000001,0.000000
82,0.000000,18615.326561,3310.430489,0.000529,0.000001,0.000001
83,0.000000,18142.002741,3196.881271,0.000534,0.000002,0.000000
84,0.000000,17681.381548,3089.030985,0.000539,0.000001,0.000000
85,0.000000,17233.130552,2986.585797,0.000544,0.000001,0.000000
86,0.000000,16796.926071,2889.267129,0.000550,0.000001,0.000001
87,0.000000,16372.452941,2796.810857,0.000555,0.000001,0.000000
88,0.000000,15959.404283,2708.966566,0.000560,0.000001,0.000000
89,0.000000,15557.481286,2625.496833,0.000565,0.000001,0.000000
90,0.000000,15166.392993,2546.176555,0.000571,0.000001,0.000001
91,0.000000,14785.856087,2470.792306,0.000576,0.000001,0.000000
92,0.000000,14415.594691,2399.141732,0.000581,0.000001,0.000000
93,0.000000,14055.340166,2331.032974,0.000586,0.000001,0.000000
94,0.000000,13704.830918,2266.284122,0.000592,0.000001,0.000000
95,0.000000,13363.812209,2204.722701,0.000597,0.000001,0.000000
96,0.000000,13032.035974,2146.185178,0.000602,0.000002,0.000000
97,0.000000,12709.260639,2090.516496,0.000607,0.000001,0.000000
98,0.000000,12395.250949,2037.569638,0.000612,0.000001,0.000000
99,0.000000,12089.777797,1987.205204,0.000617,0.000001,0.000000
100,0.000000,11792.618057,1939.291019,0.000623,0.000001,0.000001
101,0.000000,11503.554422,1893.701755,0.000628,0.000002,0.000000
102,0.000000,11222.375248,1850.318578,0.000633,0.000001,0.000000
103,0.000000,10948.874402,1809.028807,0.000639,0.000001,0.000000
104,0.000000,10682.851106,1769.725597,0.000644,0.000001,0.000000
105,0.000000,10424.109800,1732.307635,0.000649,0.000001,0.000000
106,0.000000,10172.459992,1696.678853,0.000654,0.000001,0.000000
107,0.000000,9927.716125,1662.748153,0.000675,0.000016,0.000000
108,0.000000,9689.697440,1630.429152,0.000681,0.000002,0.000000
109,0.000000,9458.227845,1599.639937,0.000687,0.000001,0.000000
110,0.000000,9233.135786,1570.302831,0.000692,0.000001,0.000000
111,0.000000,9014.254125,1542.344171,0.000698,0.000001,0.000000
112,0.000000,8801.420015,1515.694106,0.000703,0.000001,0.000000
113,0.000000,8594.474784,1490.286393,0.000709,0.000001,0.000001
114,0.000000,8393.263821,1466.058212,0.000714,0.000001,0.000000
115,0.000000,8197.636460,1442.949989,0.000720,0.000001,0.000000
116,0.000000,8007.445873,1420.905225,0.000725,0.000001,0.000000
117,0.000000,7822.548966,1399.870338,0.000730,0.000001,0.000000
118,0.000000,7642.806271,1379.794512,0.000736,0.000001,0.000000
119,0.000000,7468.081847,1360.629553,0.000741,0.000001,0.000000
120,0.000000,7298.243183,1342.329751,0.000746,0.000001,0.000000
121,0.000000,7133.161104,1324.851755,0.000751,0.000001,0.000000
122,0.000000,6972.709673,1308.154447,0.000757,0.000001,0.000000
123,0.000000,6816.766106,1292.198826,0.000762,0.000002,0.000000
124,0.000000,6665.210683,1276.947902,0.000767,0.000002,0.000000
125,0.000000,6517.926661,1262.366588,0.000773,0.000001,0.000000
126,0.000000,6374.800195,1248.421602,0.000780,0.000002,0.000000
127,0.000000,6235.720254,1235.081374,0.000785,0.000001,0.000000
128,0.000000,6100.578545,1222.315958,0.000790,0.000001,0.000000
129,0.000000,5969.269439,1210.096945,0.000796,0.000001,0.000001
130,0.000000,5841.689894,1198.397386,0.000801,0.000001,0.000000
131,0.000000,5717.739387,1187.191715,0.000806,0.000001,0.000000
132,0.000000,5597.319846,1176.455678,0.000812,0.000001,0.000001
133,0.000000,5480.335579,1166.166265,0.000817,0.000001,0.000000
134,0.000000,5366.693215,1156.301644,0.000823,0.000001,0.000000
135,0.000000,5256.301640,1146.841101,0.000828,0.000001,0.000001
136,0.000000,5149.071934,1137.764984,0.000833,0.000001,0.000000
137,0.000000,5044.917316,1129.054644,0.000839,0.000001,0.000001
138,0.000000,4943.753090,1120.692385,0.000844,0.000001,0.000000
139,0.000000,4845.496585,1112.661417,0.000849,0.000001,0.000000
140,0.000000,4750.067107,1104.945806,0.000855,0.000001,0.000000
141,0.000000,4657.385890,1097.530429,0.000860,0.000002,0.000000
142,0.000000,4567.376044,1090.400935,0.000865,0.000001,0.000000
143,0.000000,4479.962511,1083.543704,0.000871,0.000001,0.000001
144,0.000000,4395.072019,1076.945807,0.000876,0.000002,0.000000
145,0.000000,4312.633041,1070.594975,0.000882,0.000001,0.000000
146,0.000000,4232.575751,1064.479558,0.000887,0.000001,0.000001
147,0.000000,4154.831988,1058.588501,0.000892,0.000001,0.000000
148,0.000000,4079.335214,1052.911305,0.000897,0.000001,0.000000
149,0.000000,4006.020479,1047.438007,0.000903,0.000001,0.000000
150,0.000000,3934.824389,1042.159144,0.000908,0.000001,0.000000
151,0.000000,3865.685067,1037.065732,0.000914,0.000001,0.000000
152,0.000000,3798.542123,1032.149241,0.000919,0.000001,0.000000
153,0.000000,3733.336627,1027.401569,0.000925,0.000001,0.000000
154,0.000000,3670.011073,1022.815024,0.000930,0.000002,0.000000
155,0.000000,3608.509352,1018.382299,0.000935,0.000001,0.000000
156,0.000000,3548.776728,1014.096453,0.000941,0.000002,0.000000
157,0.000000,3490.759808,1009.950895,0.000946,0.000001,0.000000
158,0.000000,3434.406517,1005.939361,0.000952,0.000001,0.000000
159,0.000000,3379.666075,1002.055901,0.000958,0.000002,0.000000
160,0.000000,3326.488972,998.294863,0.000963,0.000001,0.000000
161,0.000000,3274.826942,994.650875,0.000969,0.000001,0.000001
162,0.000000,3224.632950,991.118831,0.000974,0.000001,0.000000
163,0.000000,3175.861157,987.693881,0.000980,0.000001,0.000000
164,0.000000,3128.466911,984.371412,0.000985,0.000001,0.000000
165,0.000000,3082.406719,981.147043,0.000990,0.000001,0.000000
166,0.000000,3037.638231,978.016604,0.000996,0.000001,0.000000
167,0.000000,2994.120216,974.976133,0.001001,0.000001,0.000000
168,0.000000,2951.812546,972.021864,0.001007,0.000001,0.000000
169,0.000000,2910.676177,969.150212,0.001012,0.000001,0.000000
170,0.000000,2870.673129,966.357770,0.001018,0.000001,0.000001
171,0.000000,2831.766467,963.641296,0.001023,0.000002,0.000000
172,0.000000,2793.920283,960.997705,0.001029,0.000001,0.000000
173,0.000000,2757.099680,958.424063,0.001034,0.000001,0.000000
174,0.000000,2721.270749,955.917576,0.001039,0.000001,0.000000
175,0.000000,2686.400557,953.475587,0.001045,0.000002,0.000000
176,0.000000,2652.457124,951.095565,0.001050,0.000001,0.000000
177,0.000000,2619.409408,948.775101,0.001056,0.000002,0.000000
178,0.000000,2587.227286,946.511902,0.001062,0.000001,0.000001
179,0.000000,2555.881536,944.303782,0.001067,0.000002,0.000000
180,0.000000,2525.343820,942.148661,0.001073,0.000001,0.000000
181,0.000000,2495.586667,940.044557,0.001078,0.000001,0.000000
182,0.000000,2466.583452,937.989579,0.001083,0.000001,0.000000
183,0.000000,2438.308382,935.981928,0.001088,0.000001,0.000000
184,0.000000,2410.736475,934.019888,0.001094,0.000001,0.000000
185,0.000000,2383.843546,932.101821,0.001100,0.000001,0.000000
186,0.000000,2357.606183,930.226169,0.001105,0.000001,0.000000
187,0.000000,2332.001738,928.391442,0.001111,0.000001,0.000001
188,0.000000,2307.008301,926.596221,0.001116,0.000002,0.000000
189,0.000000,2282.604687,924.839150,0.001121,0.000001,0.000000
190,0.000000,2258.770418,923.118937,0.001127,0.000001,0.000001
191,0.000000,2235.485705,921.434347,0.001135,0.000001,0.000000
192,0.000000,2212.731428,919.784201,0.001141,0.000001,0.000000
193,0.000000,2190.489125,918.167373,0.001147,0.000001,0.000000
194,0.000000,2168.740966,916.582787,0.001152,0.000001,0.000000
195,0.000000,2147.469746,915.029415,0.001157,0.000001,0.000000
196,0.000000,2126.658859,913.506275,0.001163,0.000001,0.000000
197,0.000000,2106.292287,912.012427,0.001168,0.000001,0.000000
198,0.000000,2086.354581,910.546972,0.001173,0.000001,0.000000
199,0.000000,2066.830845,909.109050,0.001179,0.000001,0.000001
200,0.000000,2047.706721,907.697840,0.001185,0.000001,0.000000
201,0.000000,2028.968371,906.312552,0.001190,0.000001,0.000000
202,0.000000,2010.602463,904.952434,0.001213,0.000001,0.000000
203,0.000000,1992.596153,903.616762,0.001219,0.000001,0.000000
204,0.000000,1974.937074,902.304845,0.001225,0.000001,0.000000
205,0.000000,1957.613317,901.016019,0.001231,0.000001,0.000000
206,0.000000,1940.613419,899.749649,0.001236,0.000002,0.000000
207,0.000000,1923.926346,898.505123,0.001242,0.000001,0.000000
208,0.000000,1907.541482,897.281858,0.001248,0.000002,0.000000
209,0.000000,1891.448611,896.079291,0.001254,0.000001,0.000000
210,0.000000,1875.637908,894.896882,0.001259,0.000001,0.000000
211,0.000000,1860.099923,893.734115,0.001265,0.000001,0.000001
212,0.000000,1844.825569,892.590490,0.001270,0.000001,0.000000
213,0.000000,1829.806108,891.465531,0.001276,0.000001,0.000000
214,0.000000,1815.033142,890.358776,0.001282,0.000001,0.000001
215,0.000000,1800.498597,889.269784,0.001287,0.000002,0.000000
216,0.000000,1786.194712,888.198129,0.001293,0.000001,0.000000
217,0.000000,1772.114032,887.143400,0.001298,0.000001,0.000001
218,0.000000,1758.249391,886.105204,0.001304,0.000001,0.000000
219,0.000000,1744.593906,885.083160,0.001309,0.000001,0.000000
220,0.000000,1731.140962,884.076901,0.001315,0.000002,0.000000
221,0.000000,1717.884207,883.086075,0.001321,0.000002,0.000000
222,0.000000,1704.817539,882.110341,0.001327,0.000001,0.000000
223,0.000000,1691.935094,881.149369,0.001332,0.000001,0.000000
224,0.000000,1679.231246,880.202842,0.001337,0.000001,0.000000
225,0.000000,1666.700585,879.270454,0.001343,0.000001,0.000001
226,0.000000,1654.337922,878.351909,0.001348,0.000001,0.000000
227,0.000000,1642.138268,877.446920,0.001354,0.000001,0.000000
228,0.000000,1630.096836,876.555210,0.001359,0.000002,0.000000
229,0.000000,1618.209028,875.676512,0.001365,0.000001,0.000001
230,0.000000,1606.470428,874.810566,0.001370,0.000002,0.000000
231,0.000000,1594.876796,873.957122,0.001375,0.000001,0.000000
232,0.000000,1583.424059,873.115937,0.001381,0.000001,0.000000
233,0.000000,1572.108308,872.286774,0.001386,0.000001,0.000000
234,0.000000,1560.925786,871.469407,0.001392,0.000001,0.000000
235,0.000000,1549.872888,870.663613,0.001397,0.000001,0.000000
236,0.000000,1538.946149,869.869178,0.001403,0.000001,0.000000
237,0.000000,1528.142241,869.085893,0.001408,0.000002,0.000000
238,0.000000,1517.457970,868.313556,0.001414,0.000001,0.000001
239,0.000000,1506.890265,867.551971,0.001419,0.000002,0.000000
240,0.000000,1496.436177,866.800946,0.001425,0.000001,0.000001
241,0.000000,1486.092871,866.060296,0.001430,0.000002,0.000000
242,0.000000,1475.857626,865.329841,0.001435,0.000001,0.000000
243,0.000000,1465.727824,864.609403,0.001441,0.000001,0.000000
244,0.000000,1455.700951,863.898814,0.001447,0.000001,0.000000
245,0.000000,1445.774589,863.197905,0.001452,0.000001,0.000000
246,0.000000,1435.946414,862.506515,0.001458,0.000001,0.000001
247,0.000000,1426.214194,861.824486,0.001464,0.000001,0.000000
248,0.000000,1416.575777,861.151665,0.001469,0.000001,0.000000
