Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,256529688.243131,415916970.225054,22.000000,17.000000,0.000000
1,0.000000,693248.084256,427813.138305,80.000000,13.000000,1.000000
2,0.000000,647199.710646,421946.925421,123.000000,15.000000,0.000000
3,0.000000,605011.095918,416830.939574,165.000000,13.000000,0.000000
4,0.000000,566403.757027,412357.111800,207.000000,14.000000,0.000000
5,0.000000,531125.664055,408433.024115,248.000000,15.000000,1.000000
6,0.000000,498942.087035,404979.596015,295.000000,15.000000,0.000000
7,0.000000,469633.854071,401929.159520,336.000000,15.000000,1.000000
8,0.000000,442995.733116,399223.812046,378.000000,15.000000,0.000000
9,0.000000,418834.950339,396814.007001,424.000000,15.000000,0.000000
10,0.000000,396969.861029,394657.347793,465.000000,15.000000,1.000000
11,0.000000,377228.789991,392717.555899,502.000000,15.000000,1.000000
12,0.000000,359449.056641,390963.587868,552.000000,15.000000,1.000000
13,0.000000,343476.195196,389368.879759,600.000000,15.000000,0.000000
14,0.000000,329163.372460,387910.700638,638.000000,15.000000,1.000000
15,0.000000,316370.995576,386569.599371,685.000000,15.000000,0.000000
16,0.000000,304966.490873,385328.931266,727.000000,15.000000,1.000000
17,0.000000,294824.224387,384174.453033,764.000000,15.000000,0.000000
18,0.000000,285825.526381,383093.976199,806.000000,15.000000,0.000000
19,0.000000,277858.777665,382077.070549,845.000000,14.000000,0.000000
20,0.000000,270819.515366,381114.810363,886.000000,15.000000,1.000000
21,0.000000,264610.519964,380199.557282,932.000000,16.000000,0.000000
22,0.000000,259141.852930,379324.774513,978.000000,15.000000,1.000000
23,0.000000,254330.823957,378484.867842,1022.000000,14.000000,0.000000
24,0.000000,250101.876937,377675.049604,1064.000000,15.000000,0.000000
25,0.000000,246386.393219,376891.222275,1105.000000,15.000000,1.000000
26,0.000000,243122.418370,376129.878873,1148.000000,15.000000,1.000000
27,0.000000,240254.324046,375388.017729,1189.000000,15.000000,1.000000
28,0.000000,237732.419759,374663.069560,1234.000000,15.000000,1.000000
29,0.000000,235512.530371,373952.835070,1275.000000,15.000000,1.000000
30,0.000000,233555.554707,373255.431549,1323.000000,14.000000,0.000000
