Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,32416351142.912155,58387300452.100296,287.000000,282.000000,1.000000
1,0.000000,1664656.474649,2759570.462793,897.000000,165.000000,1.000000
2,0.000000,1664480.113404,2759262.551335,1632.000000,258.000000,1.000000
3,0.000000,1664303.779760,2758954.705116,2342.000000,200.000000,1.000000
4,0.000000,1664127.473479,2758646.924118,2991.000000,191.000000,1.000000
5,0.000000,1663951.194556,2758339.208326,3581.000000,215.000000,1.000000
6,0.000000,1663774.942989,2758031.557720,4329.000000,288.000000,1.000000
7,0.000000,1663598.718772,2757723.972286,4656.000000,108.000000,0.000000
8,0.000000,1663422.521901,2757416.452005,4954.000000,105.000000,0.000000
9,0.000000,1663246.352372,2757108.996860,5245.000000,105.000000,0.000000
10,0.000000,1663070.210181,2756801.606835,5533.000000,104.000000,0.000000
11,0.000000,1662894.095323,2756494.281913,5828.000000,109.000000,1.000000
12,0.000000,1662718.007794,2756187.022076,6111.000000,104.000000,0.000000
13,0.000000,1662541.947590,2755879.827308,6417.000000,105.000000,0.000000
14,0.000000,1662365.914707,2755572.697592,6708.000000,104.000000,0.000000
15,0.000000,1662189.909139,2755265.632910,7002.000000,103.000000,0.000000
16,0.000000,1662013.930884,2754958.633246,7310.000000,102.000000,1.000000
17,0.000000,1661837.979937,2754651.698582,7602.000000,103.000000,1.000000
18,0.000000,1661662.056293,2754344.828902,7895.000000,103.000000,0.000000
19,0.000000,1661486.159948,2754038.024189,8208.000000,114.000000,1.000000
20,0.000000,1661310.290899,2753731.284426,8539.000000,103.000000,1.000000
21,0.000000,1661134.449140,2753424.609596,8818.000000,102.000000,0.000000
22,0.000000,1660958.634667,2753117.999681,9123.000000,102.000000,0.000000
23,0.000000,1660782.847477,2752811.454666,9418.000000,106.000000,0.000000
24,0.000000,1660607.087564,2752504.974532,9711.000000,104.000000,0.000000
25,0.000000,1660431.354925,2752198.559264,10009.000000,106.000000,0.000000
26,0.000000,1660255.649556,2751892.208843,10299.000000,103.000000,0.000000
27,0.000000,1660079.971452,2751585.923254,10591.000000,102.000000,0.000000
28,0.000000,1659904.320608,2751279.702479,10887.000000,107.000000,0.000000
29,0.000000,1659728.697022,2750973.546502,11195.000000,105.000000,1.000000
30,0.000000,1659553.100687,2750667.455305,11487.000000,105.000000,0.000000
31,0.000000,1659377.531601,2750361.428872,11702.000000,78.000000,0.000000
32,0.000000,1659201.989759,2750055.467185,11857.000000,70.000000,0.000000
33,0.000000,1659026.475156,2749749.570228,12063.000000,76.000000,0.000000
34,0.000000,1658850.987788,2749443.737984,12282.000000,76.000000,1.000000
35,0.000000,1658675.527652,2749137.970436,12460.000000,77.000000,0.000000
36,0.000000,1658500.094742,2748832.267568,12613.000000,69.000000,0.000000
37,0.000000,1658324.689056,2748526.629361,12792.000000,76.000000,0.000000
38,0.000000,1658149.310587,2748221.055800,12957.000000,69.000000,0.000000
39,0.000000,1657973.959332,2747915.546867,13137.000000,69.000000,0.000000
40,0.000000,1657798.635288,2747610.102546,13303.000000,69.000000,1.000000
41,0.000000,1657623.338449,2747304.722820,13482.000000,76.000000,0.000000
42,0.000000,1657448.068811,2746999.407671,13691.000000,76.000000,0.000000
43,0.000000,1657272.826370,2746694.157084,13869.000000,68.000000,0.000000
44,0.000000,1657097.611123,2746388.971041,14034.000000,76.000000,1.000000
45,0.000000,1656922.423063,2746083.849526,14224.000000,69.000000,0.000000
46,0.000000,1656747.262188,2745778.792521,14420.000000,76.000000,0.000000
47,0.000000,1656572.128494,2745473.800009,14579.000000,76.000000,0.000000
48,0.000000,1656397.021975,2745168.871975,14757.000000,76.000000,0.000000
49,0.000000,1656221.942627,2744864.008401,14929.000000,68.000000,1.000000
50,0.000000,1656046.890447,2744559.209270,15106.000000,76.000000,0.000000
51,0.000000,1655871.865430,2744254.474566,15283.000000,69.000000,0.000000
52,0.000000,1655696.867572,2743949.804271,15458.000000,71.000000,0.000000
53,0.000000,1655521.896869,2743645.198369,15641.000000,77.000000,0.000000
54,0.000000,1655346.953316,2743340.656843,15804.000000,78.000000,0.000000
55,0.000000,1655172.036909,2743036.179676,16007.000000,70.000000,0.000000
56,0.000000,1654997.147644,2742731.766852,16298.000000,143.000000,0.000000
57,0.000000,1654822.285517,2742427.418354,16874.000000,170.000000,1.000000
58,0.000000,1654647.450523,2742123.134165,17399.000000,183.000000,0.000000
59,0.000000,1654472.642658,2741818.914267,17872.000000,178.000000,0.000000
60,0.000000,1654297.861918,2741514.758646,18347.000000,176.000000,0.000000
61,0.000000,1654123.108299,2741210.667282,18902.000000,130.000000,0.000000
62,0.000000,1653948.381796,2740906.640161,19361.000000,174.000000,1.000000
63,0.000000,1653773.682406,2740602.677265,19875.000000,196.000000,0.000000
64,0.000000,1653599.010124,2740298.778577,20378.000000,187.000000,0.000000
65,0.000000,1653424.364945,2739994.944081,20872.000000,177.000000,0.000000
66,0.000000,1653249.746866,2739691.173760,21310.000000,158.000000,1.000000
67,0.000000,1653075.155882,2739387.467596,21736.000000,161.000000,0.000000
68,0.000000,1652900.591989,2739083.825575,22169.000000,158.000000,1.000000
69,0.000000,1652726.055183,2738780.247678,22613.000000,159.000000,0.000000
70,0.000000,1652551.545460,2738476.733889,23045.000000,153.000000,0.000000
71,0.000000,1652377.062814,2738173.284191,23459.000000,149.000000,1.000000
72,0.000000,1652202.607244,2737869.898568,23867.000000,149.000000,0.000000
73,0.000000,1652028.178743,2737566.577002,24270.000000,150.000000,0.000000
74,0.000000,1651853.777307,2737263.319478,24681.000000,144.000000,1.000000
75,0.000000,1651679.402933,2736960.125979,25076.000000,146.000000,1.000000
76,0.000000,1651505.055616,2736656.996487,25451.000000,138.000000,1.000000
77,0.000000,1651330.735352,2736353.930986,25823.000000,140.000000,0.000000
78,0.000000,1651156.442137,2736050.929459,26212.000000,141.000000,1.000000
79,0.000000,1650982.175966,2735747.991890,26626.000000,169.000000,0.000000
80,0.000000,1650807.936836,2735445.118263,27013.000000,136.000000,0.000000
81,0.000000,1650633.724742,2735142.308559,27385.000000,135.000000,0.000000
82,0.000000,1650459.539679,2734839.562764,27742.000000,128.000000,0.000000
83,0.000000,1650285.381645,2734536.880859,28104.000000,135.000000,0.000000
84,0.000000,1650111.250633,2734234.262829,28450.000000,131.000000,1.000000
85,0.000000,1649937.146641,2733931.708656,28777.000000,118.000000,0.000000
86,0.000000,1649763.069663,2733629.218325,29160.000000,136.000000,0.000000
87,0.000000,1649589.019697,2733326.791818,29573.000000,140.000000,0.000000
88,0.000000,1649414.996736,2733024.429119,30015.000000,146.000000,1.000000
89,0.000000,1649241.000778,2732722.130211,30408.000000,113.000000,1.000000
90,0.000000,1649067.031819,2732419.895077,30794.000000,141.000000,0.000000
91,0.000000,1648893.089852,2732117.723702,31217.000000,126.000000,0.000000
92,0.000000,1648719.174876,2731815.616068,31563.000000,124.000000,0.000000
93,0.000000,1648545.286885,2731513.572158,31876.000000,119.000000,1.000000
94,0.000000,1648371.425875,2731211.591957,32189.000000,119.000000,1.000000
95,0.000000,1648197.591842,2730909.675447,32453.000000,85.000000,0.000000
96,0.000000,1648023.784782,2730607.822612,32653.000000,85.000000,0.000000
97,0.000000,1647850.004690,2730306.033436,32845.000000,85.000000,0.000000
