Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000405,23443.838039,222540.637096,30.000000,22.000000,1.000000
1,0.000405,41.567929,108.863311,114.000000,23.000000,1.000000
2,0.000405,41.205378,107.468234,172.000000,20.000000,0.000000
3,0.000405,40.871013,106.096305,229.000000,23.000000,1.000000
4,0.000405,40.540091,104.746493,287.000000,23.000000,1.000000
5,0.000405,40.213185,103.419384,344.000000,23.000000,1.000000
6,0.000405,39.889963,102.115430,401.000000,23.000000,1.000000
7,0.000405,39.570019,100.832659,458.000000,23.000000,1.000000
8,0.000405,39.253052,99.570365,515.000000,22.000000,1.000000
9,0.000405,38.939329,98.328183,572.000000,22.000000,0.000000
10,0.000405,38.628815,97.105746,629.000000,23.000000,0.000000
11,0.000405,38.321473,95.902697,686.000000,22.000000,0.000000
12,0.000405,38.017268,94.718686,742.000000,22.000000,0.000000
13,0.000405,37.716164,93.553369,798.000000,23.000000,1.000000
14,0.000405,37.418126,92.406409,854.000000,23.000000,1.000000
15,0.000405,37.123120,91.277476,910.000000,23.000000,1.000000
16,0.000405,36.831112,90.166246,967.000000,22.000000,0.000000
17,0.000405,36.542068,89.072400,1023.000000,23.000000,0.000000
18,0.000405,36.255954,87.995629,1079.000000,23.000000,1.000000
19,0.000405,35.972738,86.935626,1148.000000,34.000000,1.000000
20,0.000405,35.692268,85.892903,1205.000000,23.000000,1.000000
21,0.000405,35.414998,84.866640,1263.000000,23.000000,0.000000
22,0.000405,35.140526,83.856240,1318.000000,23.000000,0.000000
23,0.000405,34.868820,82.861421,1373.000000,23.000000,1.000000
24,0.000405,34.599848,81.881908,1429.000000,23.000000,1.000000
25,0.000405,34.333478,80.918377,1484.000000,23.000000,1.000000
26,0.000405,34.069956,79.970205,1540.000000,23.000000,1.000000
27,0.000405,33.809438,79.036644,1597.000000,22.000000,1.000000
28,0.000405,33.551396,78.117759,1653.000000,23.000000,1.000000
29,0.000405,33.296286,77.212959,1710.000000,23.000000,0.000000
30,0.000405,33.043719,76.321855,1766.000000,22.000000,1.000000
31,0.000405,32.793537,75.444836,1822.000000,23.000000,1.000000
32,0.000405,32.546026,74.581930,1877.000000,23.000000,1.000000
33,0.000405,32.301312,73.732094,1934.000000,22.000000,1.000000
34,0.000405,32.058750,72.896788,1991.000000,22.000000,1.000000
35,0.000405,31.819230,72.074269,2048.000000,22.000000,1.000000
36,0.000405,31.582058,71.264762,2105.000000,23.000000,0.000000
37,0.000405,31.348243,70.468721,2161.000000,23.000000,1.000000
38,0.000405,31.116368,69.684598,2218.000000,22.000000,0.000000
39,0.000405,30.886776,68.912055,2274.000000,23.000000,1.000000
40,0.000405,30.659442,68.150892,2330.000000,23.000000,1.000000
41,0.000405,30.434341,67.400915,2387.000000,23.000000,0.000000
42,0.000405,30.211148,66.662729,2443.000000,22.000000,1.000000
43,0.000405,29.990780,65.935613,2499.000000,23.000000,1.000000
44,0.000405,29.772565,65.219088,2553.000000,22.000000,0.000000
45,0.000405,29.556478,64.512975,2609.000000,23.000000,1.000000
46,0.000405,29.342495,63.817097,2663.000000,23.000000,1.000000
47,0.000405,29.131052,63.131564,2720.000000,23.000000,0.000000
48,0.000405,28.921307,62.455953,2777.000000,23.000000,1.000000
49,0.000405,28.713454,61.790794,2833.000000,23.000000,1.000000
50,0.000405,28.507704,61.135669,2890.000000,22.000000,1.000000
51,0.000405,28.304266,60.489922,2947.000000,23.000000,0.000000
52,0.000405,28.102793,59.853387,3003.000000,23.000000,0.000000
53,0.000405,27.903262,59.225909,3059.000000,22.000000,1.000000
54,0.000405,27.705653,58.607336,3115.000000,23.000000,1.000000
55,0.000405,27.509944,57.997520,3171.000000,23.000000,1.000000
56,0.000405,27.316113,57.396314,3227.000000,22.000000,0.000000
57,0.000405,27.124141,56.803575,3283.000000,23.000000,1.000000
58,0.000405,26.934006,56.219162,3340.000000,23.000000,1.000000
59,0.000405,26.745494,55.643395,3397.000000,22.000000,0.000000
60,0.000405,26.559235,55.075780,3454.000000,23.000000,0.000000
61,0.000405,26.374871,54.516912,3511.000000,23.000000,0.000000
62,0.000405,26.192304,53.966084,3567.000000,23.000000,1.000000
63,0.000405,26.011469,53.422885,3621.000000,23.000000,1.000000
64,0.000405,25.832348,52.887192,3677.000000,23.000000,1.000000
65,0.000405,25.654920,52.358880,3740.000000,22.000000,1.000000
66,0.000405,25.479168,51.837830,3797.000000,23.000000,1.000000
67,0.000405,25.305074,51.323923,3857.000000,24.000000,1.000000
68,0.000405,25.132619,50.817042,3917.000000,24.000000,1.000000
69,0.000405,24.961784,50.317074,3976.000000,23.000000,1.000000
70,0.000405,24.792553,49.823907,4035.000000,24.000000,1.000000
71,0.000405,24.624908,49.337430,4095.000000,24.000000,0.000000
72,0.000405,24.458831,48.857535,4154.000000,24.000000,1.000000
73,0.000405,24.294305,48.384117,4214.000000,24.000000,1.000000
74,0.000405,24.131314,47.917070,4274.000000,24.000000,1.000000
