Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000399,23753.038273,225318.140632,0.000032,0.000019,0.000001
1,0.000399,48.780947,125.446818,0.000090,0.000015,0.000000
2,0.000399,48.309223,123.556683,0.000134,0.000018,0.000000
3,0.000399,47.852097,121.702543,0.000176,0.000017,0.000001
4,0.000399,47.400272,119.883272,0.000220,0.000020,0.000000
5,0.000399,46.953682,118.098140,0.000265,0.000019,0.000000
6,0.000399,46.512264,116.346435,0.000307,0.000017,0.000000
7,0.000399,46.075954,114.627459,0.000348,0.000018,0.000001
8,0.000399,45.644690,112.940529,0.000389,0.000018,0.000000
9,0.000399,45.218411,111.284979,0.000429,0.000018,0.000001
10,0.000399,44.797056,109.660157,0.000470,0.000018,0.000001
11,0.000399,44.380566,108.065424,0.000510,0.000015,0.000000
12,0.000399,43.968879,106.500157,0.000551,0.000018,0.000000
13,0.000399,43.561939,104.963746,0.000589,0.000015,0.000000
14,0.000399,43.159687,103.455594,0.000625,0.000015,0.000000
15,0.000399,42.762066,101.975119,0.000663,0.000017,0.000001
16,0.000399,42.369020,100.521749,0.000702,0.000018,0.000001
17,0.000399,41.980493,99.094926,0.000746,0.000022,0.000001
18,0.000399,41.596430,97.694106,0.000783,0.000016,0.000000
19,0.000399,41.216776,96.318753,0.000826,0.000018,0.000000
20,0.000399,40.841478,94.968347,0.000865,0.000016,0.000000
21,0.000399,40.470482,93.642376,0.000904,0.000016,0.000001
22,0.000399,40.103737,92.340341,0.000945,0.000018,0.000001
23,0.000399,39.741190,91.061753,0.001008,0.000039,0.000001
24,0.000399,39.382790,89.806135,0.001048,0.000014,0.000000
25,0.000399,39.028487,88.573019,0.001094,0.000018,0.000000
26,0.000399,38.678230,87.361949,0.001142,0.000015,0.000013
27,0.000399,38.331971,86.172476,0.001178,0.000015,0.000001
28,0.000399,37.989660,85.004163,0.001214,0.000015,0.000001
29,0.000399,37.651250,83.856583,0.001248,0.000014,0.000001
30,0.000399,37.316693,82.729316,0.001283,0.000015,0.000000
31,0.000399,36.985942,81.621954,0.001329,0.000026,0.000001
32,0.000399,36.658951,80.534095,0.001387,0.000025,0.000000
33,0.000399,36.335674,79.465347,0.001441,0.000021,0.000000
34,0.000399,36.016064,78.415327,0.001501,0.000026,0.000001
35,0.000399,35.700079,77.383659,0.001585,0.000027,0.000001
36,0.000399,35.387674,76.369977,0.001655,0.000036,0.000001
37,0.000399,35.078804,75.373921,0.001715,0.000026,0.000001
38,0.000399,34.773428,74.395139,0.001794,0.000045,0.000001
39,0.000399,34.471501,73.433289,0.001855,0.000026,0.000001
40,0.000399,34.172983,72.488032,0.001915,0.000026,0.000001
41,0.000399,33.877832,71.559041,0.001975,0.000026,0.000000
42,0.000399,33.586007,70.645992,0.002033,0.000026,0.000001
43,0.000399,33.297467,69.748571,0.002092,0.000026,0.000001
44,0.000399,33.012172,68.866468,0.002151,0.000026,0.000000
45,0.000399,32.730083,67.999383,0.002210,0.000027,0.000001
