Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,8943379.381127,13891164.499897,52.000000,46.000000,1.000000
1,0.000000,185991.123720,252389.390018,183.000000,41.000000,1.000000
2,0.000000,181517.008438,240736.104665,281.000000,38.000000,1.000000
3,0.000000,177171.406826,229635.480382,383.000000,41.000000,1.000000
4,0.000000,172931.305660,219059.958098,486.000000,42.000000,0.000000
5,0.000000,168794.145166,208984.526749,587.000000,40.000000,0.000000
6,0.000000,164757.427678,199385.370499,689.000000,41.000000,0.000000
7,0.000000,160818.716126,190239.811541,797.000000,37.000000,0.000000
8,0.000000,156975.632564,181526.255616,902.000000,41.000000,0.000000
9,0.000000,153225.856742,173224.140162,1003.000000,41.000000,1.000000
10,0.000000,149567.124699,165313.884936,1106.000000,41.000000,0.000000
11,0.000000,145997.227400,157776.844997,1213.000000,40.000000,1.000000
12,0.000000,142514.009405,150595.265958,1320.000000,41.000000,0.000000
13,0.000000,139115.367565,143752.241359,1426.000000,41.000000,0.000000
14,0.000000,135799.249755,137231.672102,1534.000000,42.000000,1.000000
15,0.000000,132563.653636,131018.227815,1642.000000,43.000000,0.000000
16,0.000000,129406.625445,125097.310074,1749.000000,41.000000,0.000000
17,0.000000,126326.258820,119455.017380,1854.000000,40.000000,1.000000
18,0.000000,123320.693646,114078.111824,1963.000000,43.000000,0.000000
19,0.000000,120388.114933,108953.987333,2071.000000,42.000000,0.000000
20,0.000000,117526.751725,104070.639453,2181.000000,43.000000,1.000000
21,0.000000,114734.876027,99416.636567,2282.000000,40.000000,0.000000
22,0.000000,112010.801762,94981.092496,2384.000000,40.000000,0.000000
23,0.000000,109352.883759,90753.640413,2488.000000,42.000000,1.000000
24,0.000000,106759.516755,86724.408003,2596.000000,43.000000,0.000000
25,0.000000,104229.134430,82883.993816,2701.000000,41.000000,1.000000
26,0.000000,101760.208458,79223.444750,2808.000000,42.000000,0.000000
27,0.000000,99351.247590,75734.234610,2917.000000,43.000000,1.000000
28,0.000000,97000.796750,72408.243701,3033.000000,42.000000,0.000000
29,0.000000,94707.436159,69237.739387,3142.000000,41.000000,0.000000
30,0.000000,92469.780478,66215.357593,3249.000000,42.000000,0.000000
31,0.000000,90286.477973,63334.085181,3345.000000,38.000000,1.000000
32,0.000000,88156.209698,60587.243179,3450.000000,41.000000,0.000000
33,0.000000,86077.688699,57968.470808,3565.000000,41.000000,0.000000
34,0.000000,84049.659239,55471.710275,3669.000000,42.000000,0.000000
35,0.000000,82070.896040,53091.192289,3770.000000,40.000000,0.000000
36,0.000000,80140.203543,50821.422284,3874.000000,42.000000,1.000000
37,0.000000,78256.415187,48657.167282,3967.000000,38.000000,0.000000
38,0.000000,76418.392706,46593.443402,4064.000000,40.000000,1.000000
39,0.000000,74625.025441,44625.503958,4167.000000,42.000000,1.000000
40,0.000000,72875.229668,42748.828127,4271.000000,43.000000,1.000000
41,0.000000,71167.947951,40959.110162,4373.000000,40.000000,1.000000
42,0.000000,69502.148496,39252.249120,4477.000000,42.000000,0.000000
43,0.000000,67876.824532,37624.339079,4580.000000,42.000000,0.000000
44,0.000000,66290.993706,36071.659829,4683.000000,38.000000,0.000000
45,0.000000,64743.697485,34590.668004,4786.000000,41.000000,1.000000
46,0.000000,63234.000582,33177.988637,4891.000000,44.000000,0.000000
47,0.000000,61760.990390,31830.407125,4995.000000,43.000000,0.000000
48,0.000000,60323.776431,30544.861570,5097.000000,40.000000,0.000000
49,0.000000,58921.489820,29318.435494,5201.000000,41.000000,0.000000
50,0.000000,57553.282740,28148.350901,5304.000000,42.000000,0.000000
51,0.000000,56218.327931,27031.961666,5398.000000,41.000000,1.000000
52,0.000000,54915.818190,25966.747244,5497.000000,42.000000,0.000000
53,0.000000,53644.965883,24950.306681,5600.000000,42.000000,0.000000
54,0.000000,52405.002475,23980.352910,5701.000000,40.000000,0.000000
55,0.000000,51195.178060,23054.707319,5804.000000,41.000000,0.000000
56,0.000000,50014.760912,22171.294576,5908.000000,42.000000,1.000000
57,0.000000,48863.037042,21328.137711,6011.000000,42.000000,1.000000
58,0.000000,47739.309771,20523.353423,6115.000000,43.000000,0.000000
59,0.000000,46642.899303,19755.147617,6224.000000,40.000000,1.000000
60,0.000000,45573.142323,19021.811149,6326.000000,40.000000,1.000000
61,0.000000,44529.391589,18321.715784,6427.000000,40.000000,1.000000
62,0.000000,43511.015547,17653.310336,6530.000000,42.000000,1.000000
63,0.000000,42517.397948,17015.117001,6632.000000,41.000000,0.000000
64,0.000000,41547.937478,16405.727859,6735.000000,42.000000,1.000000
65,0.000000,40602.047393,15823.801550,6844.000000,42.000000,1.000000
66,0.000000,39679.155164,15268.060101,6945.000000,40.000000,0.000000
67,0.000000,38778.702138,14737.285912,7056.000000,42.000000,0.000000
68,0.000000,37900.143193,14230.318879,7168.000000,41.000000,0.000000
69,0.000000,37042.946416,13746.053661,7272.000000,42.000000,1.000000
70,0.000000,36206.592778,13283.437075,7386.000000,41.000000,1.000000
71,0.000000,35390.575823,12841.465609,7484.000000,41.000000,0.000000
72,0.000000,34594.401361,12419.183069,7579.000000,38.000000,1.000000
73,0.000000,33817.587173,12015.678321,7682.000000,41.000000,0.000000
74,0.000000,33059.662716,11630.083154,7786.000000,43.000000,1.000000
75,0.000000,32320.168845,11261.570235,7891.000000,42.000000,0.000000
76,0.000000,31598.657531,10909.351174,8035.000000,60.000000,1.000000
77,0.000000,30894.691592,10572.674665,8186.000000,59.000000,1.000000
78,0.000000,30207.844433,10250.824733,8335.000000,59.000000,1.000000
79,0.000000,29537.699785,9943.119049,8485.000000,58.000000,0.000000
80,0.000000,28883.851455,9648.907339,8634.000000,58.000000,0.000000
