Iteration,t_k,gradnorm,objective,time
1,0.000000,1969115820053.716797,15498878543573428224.000000,0.001539
2,0.000000,431.906111,1090.077966,0.004896
3,0.000000,431.537368,1088.587362,0.009496
4,0.000000,68.817264,93.280467,0.013629
5,0.000000,45.164238,55.759469,0.018450
6,0.000000,40.888480,26.978057,0.022916
7,0.000000,34.179249,19.312183,0.027053
8,0.000000,15.800054,15.110008,0.031101
9,0.000000,4333.431074,87.283331,0.035136
10,0.000000,53.648690,13.240838,0.039295
11,0.000000,35.378069,12.896917,0.042966
12,0.000000,43.624681,12.306310,0.046830
13,0.000000,38.726653,11.406293,0.050745
14,0.000000,211.850658,20.893504,0.054091
15,0.000000,13.929820,9.339331,0.057390
16,0.000000,406.500690,9.896672,0.060546
17,0.000000,31.198106,9.328322,0.063662
18,0.000000,28.650516,9.320246,0.066705
19,0.000000,77.220000,8.824380,0.069743
20,0.000000,32.269101,8.745931,0.072787
21,0.000000,19.917599,8.722088,0.075842
22,0.000000,35.834333,8.712892,0.078888
23,0.000000,68.741641,8.680588,0.081963
24,0.000000,111.659696,8.598675,0.084978
25,0.000000,144.418986,8.437138,0.088027
26,0.000000,120.135874,8.221977,0.091132
27,0.000000,17.136624,8.064892,0.094222
28,0.000000,39.985515,8.031528,0.097244
29,0.000000,78.612158,7.987687,0.100343
30,0.000000,125.292809,7.873868,0.103430
31,0.000000,119.835166,7.726641,0.106585
32,0.000000,324.109590,9.972968,0.109700
33,0.000000,12.854879,7.583916,0.112923
34,0.000000,9.649184,7.577775,0.116069
35,0.000000,17.709581,7.562388,0.119199
36,0.000000,110.591508,7.549928,0.122283
37,0.000000,24.495752,7.502672,0.125420
38,0.000000,11.050998,7.470192,0.128517
39,0.000000,79.935382,7.326764,0.131609
40,0.000000,126.152146,7.121768,0.134624
41,0.000000,106.601881,6.908101,0.137692
42,0.000000,107.651341,7.105304,0.140744
43,0.000000,21.278797,6.824298,0.143878
44,0.000000,12.647717,6.799900,0.146908
45,0.000000,9.678159,6.762566,0.149949
46,0.000000,82.361651,6.706314,0.152978
47,0.000000,62.388846,6.648335,0.156137
48,0.000000,14.298812,6.353104,0.159268
49,0.000000,54.046707,6.149182,0.162315
50,0.000000,12.000627,6.137868,0.165328
51,0.000000,61.801639,6.175372,0.168514
52,0.000000,305.874129,6.510238,0.171577
53,0.000000,8.018412,6.051245,0.174650
54,0.000000,6.546452,6.053584,0.177669
55,0.000000,6.372702,6.052495,0.180774
56,0.000000,1614.513470,44.702063,0.183865
57,0.000000,25.202842,6.053024,0.186924
58,0.000000,21.419586,6.036630,0.189938
59,0.000000,257.701575,6.034577,0.193042
60,0.000000,17.413951,5.733140,0.196173
61,0.000000,5.910607,5.704788,0.199316
