Iteration,gradnorm,objective,time,two_loop_time,grad_time
1,42819179143829.414062,304180975382871277568.000000,0.000019,0.000000,0.000011
2,154216.522151,151362.063873,0.000052,0.000001,0.000004
3,150156.970989,143574.656878,0.000066,0.000000,0.000004
4,3825.156500,1195.350369,0.000078,0.000000,0.000003
5,2915.488786,1032.805295,0.000090,0.000000,0.000004
6,0.100050,809.095642,0.000102,0.000001,0.000003
7,0.099999,809.095641,0.000114,0.000001,0.000003
8,12.816079,809.094576,0.000125,0.000000,0.000004
9,26.328608,809.093498,0.000136,0.000001,0.000003
10,680.337920,809.171467,0.000148,0.000000,0.000003
11,58.180923,809.091220,0.000160,0.000001,0.000003
12,43.349156,809.085513,0.000171,0.000000,0.000003
13,160.584472,809.052485,0.000183,0.000001,0.000003
14,74.888490,809.046650,0.000194,0.000000,0.000003
15,8.613531,809.045676,0.000206,0.000000,0.000004
16,1.478382,809.045664,0.000217,0.000000,0.000003
17,1.315515,809.045663,0.000228,0.000000,0.000003
18,1.463386,809.045658,0.000240,0.000000,0.000004
19,2.177448,809.045651,0.000251,0.000000,0.000003
20,0.998638,809.045648,0.000263,0.000001,0.000003
21,0.621222,809.045647,0.000274,0.000000,0.000004
22,0.777326,809.045646,0.000285,0.000000,0.000003
23,7.864786,809.045653,0.000297,0.000000,0.000004
24,1.702985,809.045644,0.000308,0.000000,0.000003
25,1.058812,809.045643,0.000320,0.000001,0.000004
26,0.160868,809.045642,0.000332,0.000001,0.000003
27,0.084771,809.045642,0.000343,0.000000,0.000004
28,0.098875,809.045642,0.000355,0.000001,0.000003
