Iteration,gradnorm,objective,time,two_loop_time,grad_time
1,40630745299829032.000000,10422954300082456241373184.000000,0.000016,0.000001,0.000011
2,647202.589771,421945.892882,0.000052,0.000000,0.000005
3,605013.971197,416829.921688,0.000069,0.000000,0.000006
4,238344.915986,371676.871021,0.000083,0.000000,0.000005
5,275241.789692,360157.377164,0.000098,0.000000,0.000005
6,616934.306406,261935.562260,0.000115,0.000001,0.000006
7,611849.453219,183451.890691,0.000130,0.000000,0.000006
8,203319.672912,92694.650574,0.000145,0.000000,0.000005
9,1392510.776844,98393.895941,0.000161,0.000001,0.000006
10,43140.139884,86670.573337,0.000178,0.000000,0.000006
11,50293.442711,86561.931032,0.000194,0.000000,0.000006
12,206912.600486,87076.675319,0.000211,0.000000,0.000007
13,84554.775719,85580.108779,0.000236,0.000001,0.000008
14,49079.343457,84792.204575,0.000254,0.000000,0.000007
15,121824.927461,81488.950855,0.000271,0.000001,0.000007
16,530495.751576,78173.953907,0.000287,0.000000,0.000006
17,305816.928405,74023.046733,0.000305,0.000000,0.000007
18,229606.772847,70395.111394,0.000323,0.000000,0.000008
19,136603.232655,63742.500604,0.000341,0.000000,0.000007
20,138671.764103,50724.534596,0.000361,0.000000,0.000008
21,159408.987520,39250.160178,0.000380,0.000000,0.000007
22,2060721.201514,69492.863183,0.000399,0.000001,0.000007
23,176410.673381,31982.935487,0.000416,0.000001,0.000007
24,152097.442968,30687.208851,0.000434,0.000001,0.000007
25,123740.829671,29845.757416,0.000452,0.000000,0.000006
26,43214.881690,29428.085891,0.000467,0.000001,0.000006
27,15847.818701,29300.783667,0.000483,0.000001,0.000006
28,15871.331736,29264.472432,0.000499,0.000000,0.000006
29,127638.972922,28680.347025,0.000516,0.000000,0.000007
30,66253.749220,28282.909323,0.000531,0.000000,0.000006
31,156219.935331,27934.796682,0.000546,0.000001,0.000006
32,32470.653705,27603.727761,0.000561,0.000000,0.000006
33,10101.864618,27562.974915,0.000576,0.000001,0.000006
34,9430.100310,27554.137147,0.000592,0.000000,0.000006
