Iteration,t_k,gradnorm,objective,time
0,0.000392,762367.632440,227958678.084532,0.000018
1,0.000392,217.717955,2047.763640,0.000047
2,0.000392,199.256974,1686.105472,0.000072
3,0.000392,180.635415,1314.260541,0.000097
4,0.000392,163.367343,970.413252,0.000123
5,0.000392,148.750018,679.889637,0.000149
6,0.000392,137.634771,454.901633,0.000172
7,0.000392,130.249167,296.169837,0.000197
8,0.000392,126.168347,195.925667,0.000221
9,0.000392,124.519824,141.496569,0.000246
10,0.000392,124.318230,118.708570,0.000271
11,0.000392,124.739077,114.547320,0.000297
12,0.000392,125.237853,118.799985,0.000322
13,0.000392,125.542353,124.672444,0.000348
14,0.000392,125.583384,128.580396,0.000372
15,0.000392,125.411880,129.420960,0.000396
16,0.000392,125.127030,127.644192,0.000420
17,0.000392,124.825461,124.384384,0.000445
18,0.000392,124.573575,120.812634,0.000470
19,0.000392,124.400134,117.768495,0.000494
20,0.000392,124.302883,115.645005,0.000518
21,0.000392,124.261766,114.451488,0.000543
22,0.000392,124.252194,113.963602,0.000567
23,0.000392,124.254340,113.882555,0.000591
24,0.000392,124.257120,113.953222,0.000615
25,0.000392,124.257700,114.021789,0.000640
26,0.000392,124.258412,114.038550,0.000664
27,0.000392,124.263073,114.025706,0.000688
28,0.000392,124.274158,114.033510,0.000713
29,0.000392,124.291520,114.103306,0.000736
30,0.000392,124.312571,114.247388,0.000760
31,0.000392,124.333409,114.446786,0.000784
32,0.000392,124.350215,114.661947,0.000807
33,0.000392,124.360356,114.848699,0.000832
34,0.000392,124.362911,114.972515,0.000856
35,0.000392,124.358589,115.016807,0.000879
36,0.000392,124.348524,114.980905,0.000902
37,0.000392,124.334780,114.877133,0.000926
38,0.000392,124.321882,114.742813,0.000950
39,0.000392,124.310434,114.602564,0.000974
40,0.000392,124.301306,114.475338,0.000997
41,0.000392,124.294796,114.372530,0.001021
42,0.000392,124.290824,114.298524,0.001045
43,0.000392,124.289111,114.252667,0.001069
44,0.000392,124.289315,114.231570,0.001091
45,0.000392,124.291124,114.230916,0.001114
46,0.000392,124.294437,114.248196,0.001137
47,0.000392,124.298924,114.280541,0.001159
48,0.000392,124.304152,114.324712,0.001182
49,0.000392,124.309579,114.376781,0.001206
50,0.000392,124.314600,114.431885,0.001229
51,0.000392,124.317785,114.479420,0.001252
52,0.000392,124.320017,114.518714,0.001275
53,0.000392,124.320648,114.545217,0.001298
54,0.000392,124.319675,114.555926,0.001321
55,0.000392,124.317315,114.549989,0.001343
56,0.000392,124.313959,114.528880,0.001366
57,0.000392,124.310089,114.496100,0.001389
58,0.000392,124.306199,114.456485,0.001412
59,0.000392,124.302725,114.415323,0.001435
60,0.000392,124.299997,114.377509,0.001457
61,0.000392,124.298225,114.346916,0.001480
62,0.000392,124.297501,114.326081,0.001503
63,0.000392,124.297814,114.316169,0.001526
64,0.000392,124.299067,114.317148,0.001548
65,0.000392,124.301093,114.328028,0.001571
66,0.000392,124.303660,114.347101,0.001594
67,0.000392,124.306490,114.372112,0.001615
68,0.000392,124.309275,114.400403,0.001638
69,0.000392,124.311712,114.429058,0.001661
70,0.000392,124.313533,114.455111,0.001684
71,0.000392,124.314546,114.475828,0.001707
72,0.000392,124.314661,114.489030,0.001731
73,0.000392,124.313902,114.493401,0.001753
74,0.000392,124.312400,114.488697,0.001776
75,0.000392,124.310371,114.475794,0.001799
76,0.000392,124.308081,114.456553,0.001821
77,0.000392,124.305804,114.433529,0.001844
78,0.000392,124.303791,114.409576,0.001867
79,0.000392,124.302240,114.387454,0.001890
80,0.000392,124.301284,114.369481,0.001912
81,0.000392,124.300983,114.357306,0.001935
82,0.000392,124.301332,114.351811,0.001957
83,0.000392,124.302260,114.353108,0.001980
84,0.000392,124.303649,114.360631,0.002003
85,0.000392,124.305334,114.373259,0.002026
86,0.000392,124.307130,114.389459,0.002049
87,0.000392,124.308840,114.407431,0.002072
88,0.000392,124.310278,114.425267,0.002095
89,0.000392,124.311293,114.441119,0.002117
90,0.000392,124.311784,114.453367,0.002141
91,0.000392,124.311713,114.460795,0.002163
92,0.000392,124.311110,114.462728,0.002186
93,0.000392,124.310065,114.459118,0.002209
94,0.000392,124.308717,114.450550,0.002232
95,0.000392,124.307233,114.438168,0.002257
96,0.000392,124.305785,114.423515,0.002280
97,0.000392,124.304530,114.408330,0.002306
98,0.000392,124.303593,114.394323,0.002329
99,0.000392,124.303060,114.382974,0.002351
100,0.000392,124.302965,114.375374,0.002373
101,0.000392,124.303298,114.372135,0.002397
102,0.000392,124.304007,114.373364,0.002418
103,0.000392,124.304999,114.378693,0.002442
104,0.000392,124.306161,114.387355,0.002464
105,0.000392,124.307360,114.398290,0.002487
106,0.000392,124.308465,114.410258,0.002510
107,0.000392,124.309360,114.421969,0.002533
108,0.000392,124.309950,114.432207,0.002555
109,0.000392,124.310180,114.439944,0.002577
110,0.000392,124.310038,114.444439,0.002601
111,0.000392,124.309551,114.445314,0.002625
112,0.000392,124.308788,114.442590,0.002648
113,0.000392,124.307845,114.436680,0.002671
114,0.000392,124.306835,114.428337,0.002693
115,0.000392,124.305871,114.418563,0.002716
116,0.000392,124.305059,114.408484,0.002739
117,0.000392,124.304479,114.399216,0.002762
118,0.000392,124.304185,114.391740,0.002785
119,0.000392,124.304196,114.386791,0.002808
120,0.000392,124.304498,114.384789,0.002830
121,0.000392,124.305049,114.385814,0.002851
122,0.000392,124.305779,114.389615,0.002874
123,0.000392,124.306603,114.395658,0.002897
124,0.000392,124.307427,114.403199,0.002920
125,0.000392,124.308163,114.411376,0.002942
126,0.000392,124.308732,114.419299,0.002964
127,0.000392,124.309076,114.426144,0.002986
128,0.000392,124.309164,114.431229,0.003008
129,0.000392,124.308997,114.434083,0.003030
130,0.000392,124.308600,114.434481,0.003053
131,0.000392,124.308027,114.432465,0.003074
132,0.000392,124.307347,114.428332,0.003100
133,0.000392,124.306640,114.422594,0.003122
134,0.000392,124.305984,114.415927,0.003145
135,0.000392,124.305450,114.409082,0.003167
136,0.000392,124.305091,114.402808,0.003190
137,0.000392,124.304941,114.397766,0.003212
138,0.000392,124.305007,114.394456,0.003235
139,0.000392,124.305276,114.393167,0.003258
140,0.000392,124.305710,114.393956,0.003281
141,0.000392,124.306256,114.396648,0.003304
142,0.000392,124.306851,114.400870,0.003327
143,0.000392,124.307427,114.406103,0.003350
144,0.000392,124.307921,114.411742,0.003372
145,0.000392,124.308283,114.417171,0.003396
146,0.000392,124.308475,114.421825,0.003418
147,0.000392,124.308483,114.425244,0.003440
148,0.000392,124.308311,114.427117,0.003463
149,0.000392,124.307985,114.427307,0.003485
150,0.000392,124.307547,114.425856,0.003508
151,0.000392,124.307048,114.422978,0.003531
152,0.000392,124.306545,114.419026,0.003554
153,0.000392,124.306095,114.414458,0.003576
154,0.000392,124.305745,114.409783,0.003599
155,0.000392,124.305531,114.405507,0.003621
156,0.000392,124.305471,114.402076,0.003645
157,0.000392,124.305566,114.399831,0.003668
158,0.000392,124.305802,114.398970,0.003689
159,0.000392,124.306147,114.399531,0.003712
160,0.000392,124.306560,114.401396,0.003735
161,0.000392,124.306992,114.404306,0.003759
162,0.000392,124.307396,114.407903,0.003781
163,0.000392,124.307727,114.411769,0.003803
164,0.000392,124.307951,114.415480,0.003826
165,0.000392,124.308046,114.418649,0.003848
166,0.000392,124.308006,114.420964,0.003871
167,0.000392,124.307840,114.422221,0.003893
168,0.000392,124.307571,114.422333,0.003916
169,0.000392,124.307232,114.421336,0.003938
170,0.000392,124.306862,114.419378,0.003961
171,0.000392,124.306505,114.416701,0.003983
172,0.000392,124.306198,114.413614,0.004005
173,0.000392,124.305974,114.410458,0.004029
174,0.000392,124.305856,114.407570,0.004052
175,0.000392,124.305853,114.405250,0.004075
176,0.000392,124.305962,114.403724,0.004097
177,0.000392,124.306168,114.403127,0.004120
178,0.000392,124.306444,114.403486,0.004142
179,0.000392,124.306758,114.404722,0.004165
180,0.000392,124.307073,114.406663,0.004188
181,0.000392,124.307354,114.409067,0.004209
182,0.000392,124.307570,114.411653,0.004232
183,0.000392,124.307700,114.414138,0.004257
184,0.000392,124.307731,114.416260,0.004279
185,0.000392,124.307663,114.417816,0.004303
186,0.000392,124.307508,114.418669,0.004326
