Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,227555043.841990,8771851146.649998,0.000009,0.000002,0.000003
1,0.000000,5247315.305265,176578805.219946,0.000021,0.000001,0.000003
2,0.000000,5070514.009040,167560832.000126,0.000029,0.000001,0.000002
3,0.000000,4862928.765912,156642415.863976,0.000037,0.000001,0.000002
4,0.000000,4628116.157980,144273780.004791,0.000045,0.000001,0.000002
5,0.000000,4369945.737049,130899503.517893,0.000053,0.000001,0.000002
6,0.000000,4092394.595797,116953016.487491,0.000060,0.000001,0.000002
7,0.000000,3799495.715698,102845255.619895,0.000068,0.000001,0.000002
8,0.000000,3495300.212053,88952487.488728,0.000076,0.000001,0.000002
9,0.000000,3183832.052425,75605458.832347,0.000084,0.000001,0.000002
10,0.000000,2869040.920211,63080915.417409,0.000092,0.000001,0.000002
11,0.000000,2554757.054583,51596007.869066,0.000100,0.000001,0.000002
12,0.000000,2244651.467961,41305773.176707,0.000108,0.000001,0.000002
13,0.000000,1942205.613915,32303634.878486,0.000117,0.000002,0.000002
14,0.000000,1650696.900985,24624671.499599,0.000125,0.000001,0.000002
15,0.000000,1373212.368939,18251253.495757,0.000133,0.000001,0.000002
16,0.000000,1112718.032114,13120542.492494,0.000140,0.000001,0.000002
17,0.000000,872253.255972,9133282.881444,0.000148,0.000001,0.000002
18,0.000000,655446.356415,6163293.645096,0.000155,0.000001,0.000002
19,0.000000,467963.936264,4067084.651799,0.000164,0.000001,0.000002
20,0.000000,321740.174432,2693071.758133,0.000172,0.000001,0.000002
21,0.000000,242887.238970,1889942.462228,0.000179,0.000001,0.000002
22,0.000000,251875.782703,1513821.035528,0.000187,0.000001,0.000002
23,0.000000,312708.587220,1433990.916796,0.000195,0.000001,0.000002
24,0.000000,382487.036882,1537044.571552,0.000218,0.000001,0.000003
25,0.000000,443563.945075,1729439.424107,0.000226,0.000001,0.000002
26,0.000000,490287.273035,1938536.269660,0.000234,0.000001,0.000002
27,0.000000,521195.977358,2112278.528917,0.000242,0.000001,0.000003
28,0.000000,536482.418705,2217733.154991,0.000249,0.000001,0.000002
29,0.000000,537113.261907,2238754.961706,0.000257,0.000001,0.000002
30,0.000000,524469.609437,2173055.291160,0.000265,0.000001,0.000002
31,0.000000,500170.520101,2028954.472150,0.000273,0.000002,0.000002
32,0.000000,465970.173151,1822077.919616,0.000281,0.000001,0.000002
33,0.000000,423688.773766,1572221.448839,0.000293,0.000002,0.000002
34,0.000000,375161.669923,1300566.522902,0.000300,0.000001,0.000002
35,0.000000,322201.088566,1027375.092629,0.000308,0.000001,0.000001
36,0.000000,266570.783279,770240.736859,0.000315,0.000001,0.000002
37,0.000000,209982.256641,542921.913752,0.000324,0.000002,0.000002
38,0.000000,154148.222962,354737.626254,0.000331,0.000001,0.000002
39,0.000000,101065.301115,210468.236559,0.000339,0.000001,0.000002
40,0.000000,54766.568165,110676.201019,0.000347,0.000001,0.000002
