Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,7870925307.656821,391594370812.275940,21.000000,11.000000,7.000000
1,0.000000,32639587.714918,367613730.536766,49.000000,6.000000,4.000000
2,0.000000,26036927.938356,292801962.013274,70.000000,7.000000,3.000000
3,0.000000,19530365.417063,218878817.779623,90.000000,6.000000,3.000000
4,0.000000,13568557.781375,153340185.092263,110.000000,6.000000,2.000000
5,0.000000,8479622.224617,100206271.668417,129.000000,7.000000,3.000000
6,0.000000,4492790.256593,60535490.304634,149.000000,6.000000,3.000000
7,0.000000,1940609.998934,33276287.479288,168.000000,6.000000,3.000000
8,0.000000,1752050.585062,16191321.541925,188.000000,6.000000,3.000000
9,0.000000,2483326.692213,6643250.923676,208.000000,7.000000,3.000000
10,0.000000,2796761.531540,2139661.961621,227.000000,7.000000,3.000000
11,0.000000,2670003.327497,630917.101800,246.000000,6.000000,3.000000
12,0.000000,2258465.449367,612394.176324,266.000000,7.000000,3.000000
13,0.000000,1728318.069615,1100656.156727,286.000000,6.000000,2.000000
14,0.000000,1227114.493125,1544586.559302,305.000000,7.000000,3.000000
15,0.000000,874995.422470,1713494.856032,325.000000,7.000000,3.000000
16,0.000000,724394.003617,1586422.069978,344.000000,7.000000,3.000000
17,0.000000,695160.878381,1255279.487368,363.000000,7.000000,3.000000
18,0.000000,673264.356893,848487.841185,383.000000,6.000000,2.000000
19,0.000000,622454.156778,478613.746200,402.000000,6.000000,2.000000
20,0.000000,567288.620653,214636.874591,421.000000,7.000000,2.000000
21,0.000000,551132.920215,76107.969283,440.000000,7.000000,3.000000
22,0.000000,590490.317777,43237.034072,459.000000,7.000000,3.000000
23,0.000000,659740.539089,75063.095363,479.000000,6.000000,2.000000
24,0.000000,724334.656135,128040.513438,499.000000,6.000000,2.000000
25,0.000000,764068.535879,169492.157201,518.000000,7.000000,3.000000
26,0.000000,773731.329829,183502.761373,537.000000,7.000000,3.000000
27,0.000000,757997.325272,169833.041750,562.000000,8.000000,4.000000
28,0.000000,726579.297759,138399.183975,582.000000,7.000000,3.000000
29,0.000000,690214.881025,102452.955221,601.000000,7.000000,3.000000
30,0.000000,657570.662604,73015.587496,620.000000,6.000000,2.000000
31,0.000000,633496.748890,55904.335650,640.000000,6.000000,2.000000
32,0.000000,619046.194923,51434.879607,659.000000,7.000000,3.000000
33,0.000000,612896.164644,56006.996110,678.000000,7.000000,3.000000
34,0.000000,613001.354328,64444.184942,697.000000,6.000000,3.000000
35,0.000000,617511.327206,72094.927040,716.000000,6.000000,3.000000
36,0.000000,624877.377002,76104.368965,736.000000,7.000000,2.000000
37,0.000000,633641.657914,75722.663173,755.000000,7.000000,3.000000
38,0.000000,642345.017397,71861.329311,774.000000,7.000000,3.000000
39,0.000000,649662.758591,66274.772569,793.000000,7.000000,3.000000
40,0.000000,654639.921332,60739.406788,812.000000,7.000000,3.000000
41,0.000000,656859.090617,56485.666668,831.000000,7.000000,3.000000
42,0.000000,656457.019860,53980.650072,850.000000,6.000000,3.000000
43,0.000000,654002.033069,53021.230672,870.000000,7.000000,3.000000
44,0.000000,650297.223214,53013.618791,890.000000,7.000000,3.000000
45,0.000000,646181.255820,53294.925618,909.000000,7.000000,3.000000
46,0.000000,642376.308567,53380.874438,928.000000,7.000000,3.000000
47,0.000000,639401.088680,53080.244379,947.000000,7.000000,3.000000
48,0.000000,637541.724427,52475.815942,966.000000,6.000000,3.000000
49,0.000000,636862.584107,51814.473628,985.000000,6.000000,3.000000
50,0.000000,637241.123935,51367.324806,1004.000000,6.000000,2.000000
51,0.000000,638417.696030,51314.774150,1025.000000,7.000000,3.000000
52,0.000000,640055.271993,51689.463060,1045.000000,6.000000,2.000000
53,0.000000,641803.095513,52382.854603,1065.000000,6.000000,3.000000
54,0.000000,643355.297993,53198.871571,1084.000000,7.000000,3.000000
55,0.000000,644494.549691,53926.481644,1104.000000,6.000000,2.000000
56,0.000000,645113.645095,54403.706904,1124.000000,7.000000,3.000000
57,0.000000,645213.437636,54554.355172,1143.000000,7.000000,3.000000
58,0.000000,644881.277349,54392.146997,1165.000000,7.000000,3.000000
59,0.000000,644257.941311,53998.328625,1190.000000,6.000000,3.000000
60,0.000000,643502.064478,53485.705681,1209.000000,6.000000,2.000000
61,0.000000,642759.572130,52963.054218,1235.000000,8.000000,4.000000
62,0.000000,642142.635431,52510.220801,1263.000000,8.000000,4.000000
63,0.000000,641719.456476,52168.265414,1284.000000,6.000000,3.000000
64,0.000000,641513.687137,51943.221308,1307.000000,8.000000,3.000000
65,0.000000,641510.908570,51818.207532,1326.000000,6.000000,3.000000
66,0.000000,641669.249392,51767.690766,1346.000000,7.000000,3.000000
67,0.000000,641931.526980,51768.622264,1365.000000,6.000000,2.000000
68,0.000000,642236.872523,51805.931185,1384.000000,7.000000,3.000000
69,0.000000,642530.407149,51872.428125,1403.000000,7.000000,3.000000
70,0.000000,642770.092798,51965.090421,1422.000000,7.000000,3.000000
71,0.000000,642930.389242,52080.412777,1441.000000,7.000000,3.000000
72,0.000000,643002.812963,52211.104046,1468.000000,7.000000,3.000000
