Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,992258319836.271240,54705304090488.375000,90.000000,82.000000,5.000000
1,0.000000,72507303.431091,1076765146.975150,276.000000,71.000000,4.000000
2,0.000000,70340154.013646,891304211.313267,479.000000,93.000000,3.000000
3,0.000000,68230471.824615,697328714.350439,673.000000,92.000000,3.000000
4,0.000000,66344030.318292,513979481.317237,836.000000,68.000000,3.000000
5,0.000000,64791254.093782,354675939.056349,1013.000000,69.000000,3.000000
6,0.000000,63619190.026737,226787938.176425,1200.000000,77.000000,3.000000
7,0.000000,62816521.365450,132138734.697383,1375.000000,68.000000,3.000000
8,0.000000,62328545.909256,68186788.696680,1537.000000,68.000000,3.000000
9,0.000000,62077477.594005,29570319.832302,1699.000000,69.000000,3.000000
10,0.000000,61982048.144054,9680851.589232,1868.000000,68.000000,3.000000
11,0.000000,61971947.489425,1995674.198344,2071.000000,100.000000,3.000000
12,0.000000,61995428.204241,1005275.550681,2269.000000,68.000000,3.000000
13,0.000000,62020748.644705,2686742.452759,2431.000000,68.000000,3.000000
14,0.000000,62033341.410308,4571431.398981,2608.000000,69.000000,3.000000
15,0.000000,62030818.436167,5518613.191159,2769.000000,68.000000,3.000000
16,0.000000,62017587.153780,5331301.564683,2970.000000,93.000000,3.000000
17,0.000000,62000294.362285,4340744.538273,3147.000000,69.000000,3.000000
18,0.000000,61984727.857241,3053079.517326,3347.000000,92.000000,3.000000
19,0.000000,61974292.704419,1908749.247029,3528.000000,80.000000,3.000000
20,0.000000,61969802.221351,1164505.286367,3711.000000,74.000000,3.000000
21,0.000000,61970117.940508,877555.847740,3912.000000,92.000000,3.000000
22,0.000000,61973136.673622,955347.614646,4098.000000,78.000000,3.000000
23,0.000000,61976717.508030,1232012.755700,4300.000000,93.000000,3.000000
24,0.000000,61979305.273992,1540068.067713,4502.000000,94.000000,3.000000
25,0.000000,61980176.979672,1758604.205940,4689.000000,84.000000,3.000000
26,0.000000,61979368.379866,1832259.828321,4875.000000,78.000000,3.000000
27,0.000000,61977408.341676,1765357.484509,5053.000000,77.000000,3.000000
28,0.000000,61975000.446941,1601074.264067,5215.000000,68.000000,3.000000
29,0.000000,61972760.484418,1396479.774996,5376.000000,68.000000,3.000000
30,0.000000,61971067.220078,1201906.491791,5569.000000,92.000000,3.000000
31,0.000000,61970032.696881,1049136.210955,5747.000000,69.000000,3.000000
32,0.000000,61969561.565664,948907.718358,5912.000000,70.000000,3.000000
33,0.000000,61969452.566236,895391.319390,6112.000000,97.000000,3.000000
34,0.000000,61969497.717852,873998.605713,6320.000000,95.000000,4.000000
35,0.000000,61969549.579783,869077.647596,6505.000000,71.000000,3.000000
36,0.000000,61969546.003491,869183.949194,6686.000000,73.000000,3.000000
37,0.000000,61969498.192016,869090.426108,6865.000000,69.000000,3.000000
38,0.000000,61969457.524564,868969.990340,7052.000000,78.000000,3.000000
39,0.000000,61969478.609098,871934.603289,7217.000000,69.000000,4.000000
40,0.000000,61969592.035244,881274.256741,7373.000000,69.000000,3.000000
41,0.000000,61969793.273683,898433.965142,7548.000000,70.000000,3.000000
42,0.000000,61970047.133094,922225.227779,7728.000000,76.000000,3.000000
43,0.000000,61970302.313597,949225.067801,7906.000000,69.000000,3.000000
44,0.000000,61970508.790311,974939.234946,8070.000000,69.000000,3.000000
45,0.000000,61970631.735379,995166.830332,8259.000000,88.000000,3.000000
46,0.000000,61970658.378983,1007079.619847,8420.000000,68.000000,3.000000
47,0.000000,61970597.318105,1009738.597874,8590.000000,68.000000,3.000000
48,0.000000,61970472.228774,1004012.150088,8776.000000,77.000000,2.000000
49,0.000000,61970313.140627,992050.804713,8931.000000,69.000000,3.000000
50,0.000000,61970148.349645,976567.599334,9087.000000,70.000000,3.000000
51,0.000000,61969999.042913,960167.000295,9281.000000,93.000000,3.000000
52,0.000000,61969877.342462,944887.419438,9464.000000,75.000000,3.000000
53,0.000000,61969787.264030,932015.667420,9630.000000,70.000000,3.000000
54,0.000000,61969727.364705,922136.649471,9810.000000,69.000000,3.000000
55,0.000000,61969693.713714,915324.346870,10065.000000,110.000000,5.000000
56,0.000000,61969682.148358,911368.031180,10338.000000,108.000000,4.000000
57,0.000000,61969689.341223,909952.039191,10592.000000,103.000000,4.000000
58,0.000000,61969712.760252,910750.468763,10851.000000,103.000000,4.000000
59,0.000000,61969749.972716,913440.879656,11108.000000,103.000000,4.000000
60,0.000000,61969797.856217,917669.694776,11364.000000,103.000000,4.000000
61,0.000000,61969852.165345,923010.894475,11616.000000,102.000000,4.000000
62,0.000000,61969907.657830,928951.053090,11872.000000,105.000000,5.000000
63,0.000000,61969958.723814,934915.186682,12126.000000,103.000000,4.000000
64,0.000000,61970000.277748,940328.112114,12381.000000,104.000000,4.000000
65,0.000000,61970028.608684,944692.127707,12638.000000,104.000000,4.000000
66,0.000000,61970041.935887,947657.247330,12895.000000,103.000000,5.000000
67,0.000000,61970040.541001,949064.517498,13150.000000,102.000000,4.000000
68,0.000000,61970026.489723,948952.882533,13408.000000,103.000000,4.000000
