Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000405,738816.881047,220920233.297910,29.000000,10.000000,11.000000
1,0.000405,229.191923,2295.855372,70.000000,8.000000,6.000000
2,0.000405,208.138718,1890.895221,101.000000,9.000000,7.000000
3,0.000405,186.681361,1473.997677,139.000000,11.000000,6.000000
4,0.000405,166.494618,1087.652599,170.000000,9.000000,6.000000
5,0.000405,149.073837,760.048203,199.000000,9.000000,5.000000
6,0.000405,135.496666,504.818455,231.000000,9.000000,5.000000
7,0.000405,126.190441,322.886386,260.000000,9.000000,5.000000
8,0.000405,120.814912,205.819254,288.000000,9.000000,5.000000
9,0.000405,118.427457,139.796030,317.000000,9.000000,4.000000
10,0.000405,117.874215,109.348383,344.000000,8.000000,5.000000
11,0.000405,118.156452,100.411035,377.000000,11.000000,5.000000
12,0.000405,118.605511,102.115106,406.000000,8.000000,5.000000
13,0.000405,118.883834,106.703560,434.000000,8.000000,5.000000
14,0.000405,118.900609,109.951077,473.000000,12.000000,6.000000
15,0.000405,118.709225,110.548688,512.000000,13.000000,6.000000
16,0.000405,118.419277,108.880835,547.000000,11.000000,6.000000
17,0.000405,118.135348,106.041265,576.000000,8.000000,4.000000
18,0.000405,117.924661,103.143646,604.000000,9.000000,5.000000
19,0.000405,117.809648,100.944427,632.000000,8.000000,5.000000
20,0.000405,117.777445,99.774935,660.000000,9.000000,5.000000
21,0.000405,117.796851,99.541402,688.000000,9.000000,5.000000
22,0.000405,117.834624,99.882848,716.000000,9.000000,5.000000
23,0.000405,117.866309,100.411591,744.000000,9.000000,5.000000
24,0.000405,117.880268,100.856639,771.000000,8.000000,5.000000
25,0.000405,117.876225,101.060954,799.000000,9.000000,5.000000
26,0.000405,117.860783,101.005265,827.000000,9.000000,5.000000
27,0.000405,117.842429,100.762304,856.000000,9.000000,4.000000
28,0.000405,117.827785,100.445800,883.000000,9.000000,5.000000
29,0.000405,117.819856,100.149892,911.000000,9.000000,5.000000
30,0.000405,117.818163,99.932591,939.000000,9.000000,5.000000
31,0.000405,117.820051,99.802535,967.000000,9.000000,5.000000
32,0.000405,117.822345,99.741752,995.000000,9.000000,5.000000
33,0.000405,117.822663,99.720378,1023.000000,8.000000,4.000000
34,0.000405,117.820058,99.710442,1050.000000,9.000000,5.000000
35,0.000405,117.814971,99.695062,1078.000000,9.000000,5.000000
36,0.000405,117.808721,99.670533,1105.000000,7.000000,4.000000
37,0.000405,117.802840,99.642963,1132.000000,8.000000,5.000000
38,0.000405,117.798523,99.622361,1160.000000,8.000000,4.000000
39,0.000405,117.796332,99.617031,1187.000000,9.000000,5.000000
40,0.000405,117.796191,99.630150,1214.000000,8.000000,5.000000
41,0.000405,117.797568,99.659095,1242.000000,8.000000,4.000000
42,0.000405,117.799751,99.697005,1269.000000,9.000000,4.000000
43,0.000405,117.802089,99.735450,1297.000000,9.000000,5.000000
44,0.000405,117.804135,99.767039,1325.000000,8.000000,4.000000
45,0.000405,117.805682,99.787139,1352.000000,9.000000,5.000000
46,0.000405,117.806712,99.794397,1379.000000,8.000000,5.000000
47,0.000405,117.807308,99.790233,1407.000000,9.000000,5.000000
48,0.000405,117.807569,99.777733,1435.000000,9.000000,5.000000
49,0.000405,117.807562,99.760460,1462.000000,8.000000,5.000000
50,0.000405,117.807311,99.741542,1490.000000,9.000000,5.000000
51,0.000405,117.806817,99.723215,1518.000000,9.000000,5.000000
52,0.000405,117.806090,99.706802,1546.000000,9.000000,5.000000
53,0.000405,117.805172,99.692954,1574.000000,9.000000,5.000000
54,0.000405,117.804146,99.681966,1602.000000,9.000000,5.000000
55,0.000405,117.803125,99.674020,1630.000000,8.000000,4.000000
56,0.000405,117.802229,99.669281,1658.000000,9.000000,4.000000
57,0.000405,117.801561,99.667859,1685.000000,9.000000,4.000000
58,0.000405,117.801182,99.669692,1712.000000,9.000000,5.000000
59,0.000405,117.801107,99.674448,1739.000000,8.000000,5.000000
60,0.000405,117.801308,99.681481,1767.000000,9.000000,5.000000
61,0.000405,117.801721,99.689891,1794.000000,8.000000,5.000000
62,0.000405,117.802265,99.698641,1822.000000,9.000000,5.000000
63,0.000405,117.802861,99.706726,1849.000000,8.000000,5.000000
64,0.000405,117.803434,99.713315,1876.000000,8.000000,5.000000
65,0.000405,117.803929,99.717859,1910.000000,9.000000,5.000000
66,0.000405,117.804308,99.720127,1935.000000,8.000000,3.000000
67,0.000405,117.804553,99.720187,1963.000000,9.000000,5.000000
68,0.000405,117.804657,99.718343,1991.000000,9.000000,5.000000
69,0.000405,117.804627,99.715050,2019.000000,9.000000,5.000000
70,0.000405,117.804482,99.710833,2047.000000,9.000000,5.000000
71,0.000405,117.804245,99.706216,2074.000000,8.000000,5.000000
72,0.000405,117.803948,99.701679,2101.000000,8.000000,5.000000
73,0.000405,117.803625,99.697620,2129.000000,9.000000,5.000000
74,0.000405,117.803310,99.694345,2157.000000,9.000000,5.000000
75,0.000405,117.803034,99.692056,2182.000000,9.000000,3.000000
76,0.000405,117.802821,99.690849,2208.000000,9.000000,3.000000
77,0.000405,117.802687,99.690718,2234.000000,8.000000,4.000000
78,0.000405,117.802637,99.691561,2259.000000,8.000000,3.000000
79,0.000405,117.802668,99.693194,2286.000000,9.000000,3.000000
80,0.000405,117.802767,99.695377,2312.000000,9.000000,3.000000
81,0.000405,117.802916,99.697838,2338.000000,9.000000,4.000000
82,0.000405,117.803094,99.700304,2364.000000,9.000000,4.000000
83,0.000405,117.803280,99.702531,2390.000000,9.000000,3.000000
84,0.000405,117.803453,99.704322,2415.000000,8.000000,3.000000
85,0.000405,117.803599,99.705550,2442.000000,9.000000,3.000000
86,0.000405,117.803704,99.706156,2467.000000,8.000000,3.000000
87,0.000405,117.803765,99.706153,2493.000000,8.000000,3.000000
88,0.000405,117.803779,99.705611,2519.000000,9.000000,4.000000
89,0.000405,117.803750,99.704646,2545.000000,8.000000,3.000000
90,0.000405,117.803687,99.703401,2570.000000,8.000000,3.000000
91,0.000405,117.803598,99.702029,2596.000000,9.000000,3.000000
92,0.000405,117.803496,99.700677,2622.000000,9.000000,3.000000
93,0.000405,117.803391,99.699471,2648.000000,8.000000,3.000000
94,0.000405,117.803295,99.698513,2674.000000,8.000000,3.000000
95,0.000405,117.803216,99.697865,2700.000000,8.000000,3.000000
96,0.000405,117.803161,99.697557,2725.000000,8.000000,3.000000
97,0.000405,117.803131,99.697580,2751.000000,8.000000,4.000000
98,0.000405,117.803129,99.697897,2776.000000,9.000000,3.000000
99,0.000405,117.803150,99.698445,2802.000000,8.000000,4.000000
100,0.000405,117.803190,99.699144,2828.000000,8.000000,3.000000
