Iteration,t_k,gradnorm,objective,time,grad_time,prox_time
0,0.000000,281403701.489156,13845326597.336618,32.000000,22.000000,6.000000
1,0.000000,6788308.087487,340216846.231893,90.000000,17.000000,4.000000
2,0.000000,6581443.430481,324691212.166976,145.000000,17.000000,2.000000
3,0.000000,6338036.615373,305789561.468316,202.000000,20.000000,2.000000
4,0.000000,6061898.751267,284231304.570714,267.000000,19.000000,3.000000
5,0.000000,5757271.237049,260730503.879537,331.000000,19.000000,2.000000
6,0.000000,5428536.906226,235990557.771730,394.000000,17.000000,2.000000
7,0.000000,5080161.507857,210688273.276256,451.000000,19.000000,2.000000
8,0.000000,4716659.112269,185455536.233535,497.000000,17.000000,2.000000
9,0.000000,4342548.192564,160862126.391993,560.000000,17.000000,3.000000
10,0.000000,3962304.785410,137401403.014309,624.000000,19.000000,2.000000
11,0.000000,3580316.972135,115479781.104804,687.000000,19.000000,2.000000
12,0.000000,3200844.305842,95410436.732259,751.000000,18.000000,2.000000
13,0.000000,2827986.216758,77411329.146803,805.000000,17.000000,2.000000
14,0.000000,2465665.027483,61607348.656558,859.000000,17.000000,2.000000
15,0.000000,2117632.879256,48036175.557376,914.000000,18.000000,2.000000
16,0.000000,1787519.794362,36657263.412351,965.000000,18.000000,2.000000
17,0.000000,1478957.397118,27363240.164172,1011.000000,17.000000,2.000000
18,0.000000,1195851.209900,19992951.185086,1062.000000,17.000000,2.000000
19,0.000000,942957.460463,14345352.987220,1119.000000,19.000000,2.000000
20,0.000000,727063.419409,10193493.427920,1183.000000,19.000000,2.000000
21,0.000000,559002.553569,7297882.384474,1239.000000,19.000000,2.000000
22,0.000000,454389.046805,5418660.934019,1303.000000,19.000000,2.000000
23,0.000000,423315.962607,4326101.271491,1362.000000,18.000000,2.000000
24,0.000000,450689.585499,3809109.826414,1419.000000,19.000000,2.000000
25,0.000000,505109.651232,3681551.101751,1465.000000,17.000000,2.000000
26,0.000000,562891.136676,3786348.684650,1527.000000,17.000000,2.000000
27,0.000000,612012.793828,3997448.290075,1591.000000,19.000000,2.000000
28,0.000000,647317.721978,4219836.754847,1650.000000,17.000000,2.000000
29,0.000000,667046.510994,4387896.230587,1697.000000,17.000000,2.000000
30,0.000000,671156.377184,4462432.253372,1743.000000,17.000000,2.000000
31,0.000000,660535.235872,4426746.682437,1789.000000,17.000000,2.000000
32,0.000000,636612.287896,4282132.693003,1845.000000,19.000000,2.000000
33,0.000000,601148.920613,4043151.565889,1901.000000,19.000000,2.000000
34,0.000000,556119.073533,3733013.674871,1956.000000,17.000000,2.000000
35,0.000000,503641.924958,3379333.452204,2010.000000,17.000000,2.000000
36,0.000000,445955.829617,3010465.328614,2064.000000,17.000000,2.000000
37,0.000000,385440.697865,2652559.920106,2117.000000,17.000000,2.000000
38,0.000000,324718.219827,2327412.045181,2172.000000,17.000000,2.000000
39,0.000000,266894.371803,2051108.922521,2218.000000,17.000000,3.000000
40,0.000000,216036.242327,1833431.757387,2259.000000,17.000000,2.000000
