Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
1,0.000000,583437736218230587392.000000,18912922501287842864799598772224.000000,103.000000,0.000000,100.000000
2,0.000000,1664539.385212,2759261.171885,317.000000,1.000000,76.000000
3,0.000000,1664302.975367,2758953.314716,498.000000,0.000000,77.000000
4,0.000000,32441419.440841,1404915.596938,687.000000,1.000000,77.000000
5,0.000000,12130589.944282,1313624.794169,851.000000,0.000000,79.000000
6,0.000000,899432.049368,1304462.582976,1023.000000,1.000000,76.000000
7,0.000000,879668.049782,1304324.995138,1196.000000,0.000000,76.000000
8,0.000000,1400561.458119,1304071.631196,1393.000000,1.000000,76.000000
9,0.000000,2935052.104873,1303213.230396,1556.000000,0.000000,76.000000
10,0.000000,5462633.983846,1301059.238475,1768.000000,0.000000,76.000000
11,0.000000,9440932.714171,1295441.551827,1941.000000,1.000000,76.000000
12,0.000000,14991449.113591,1281311.018969,2161.000000,1.000000,73.000000
13,0.000000,21085347.690292,1248043.761492,2363.000000,0.000000,76.000000
14,0.000000,23512411.336454,1184742.599557,2625.000000,1.000000,75.000000
15,0.000000,79712843.398741,1246524.882416,2875.000000,0.000000,75.000000
16,0.000000,35072876.461984,1023299.320682,3120.000000,0.000000,87.000000
17,0.000000,14019374.860988,890076.202649,3359.000000,1.000000,92.000000
18,0.000000,9584845.910935,695338.573818,3553.000000,0.000000,91.000000
19,0.000000,3154586.630846,651518.271622,3797.000000,1.000000,76.000000
20,0.000000,454809.649047,648987.682433,4065.000000,0.000000,76.000000
21,0.000000,1648384.958767,648177.521516,4296.000000,1.000000,75.000000
22,0.000000,1637257.392073,647643.555280,4473.000000,0.000000,75.000000
23,0.000000,526499502.426294,25528675.740400,4668.000000,0.000000,76.000000
24,0.000000,685575.187320,646952.863311,4846.000000,0.000000,76.000000
25,0.000000,764977.577145,646805.340086,5054.000000,0.000000,75.000000
26,0.000000,5613011.631201,638402.563692,5286.000000,1.000000,75.000000
27,0.000000,8170070.434314,624497.381791,5501.000000,1.000000,77.000000
28,0.000000,15528837.338505,547273.809327,5707.000000,1.000000,74.000000
29,0.000000,14393927.314394,469971.060574,5879.000000,1.000000,68.000000
30,0.000000,234203836.241060,4873380.082025,6086.000000,0.000000,76.000000
31,0.000000,5672762.115760,427390.806826,6279.000000,0.000000,76.000000
32,0.000000,3165194.998020,421898.491293,6458.000000,0.000000,75.000000
33,0.000000,117874.651378,419894.299785,6636.000000,1.000000,75.000000
34,0.000000,117539.305850,419888.711687,6894.000000,1.000000,73.000000
35,0.000000,2483085.301559,417572.692431,7140.000000,0.000000,88.000000
36,0.000000,3804839.783158,415042.853197,7408.000000,0.000000,76.000000
37,0.000000,983322.070677,412060.195831,7644.000000,0.000000,76.000000
38,0.000000,6516208.617244,413238.495403,7894.000000,1.000000,76.000000
39,0.000000,774703.494621,409549.405022,8141.000000,0.000000,74.000000
40,0.000000,155771.143493,409469.377978,8355.000000,1.000000,76.000000
41,0.000000,215914.646334,409453.390501,8525.000000,1.000000,68.000000
42,0.000000,372159.279401,409429.971091,8732.000000,0.000000,69.000000
43,0.000000,753883.369984,409337.235247,8988.000000,1.000000,75.000000
44,0.000000,1146058.618698,409144.952666,9196.000000,1.000000,75.000000
45,0.000000,2055766.833281,408623.756219,9451.000000,1.000000,76.000000
46,0.000000,2425639.931089,407360.954295,9659.000000,1.000000,76.000000
47,0.000000,28734399.186806,439425.985604,9884.000000,1.000000,76.000000
48,0.000000,4903787.366016,404079.450705,10104.000000,1.000000,76.000000
49,0.000000,3945522.747437,401666.337293,10314.000000,0.000000,85.000000
50,0.000000,4937304.576904,370508.758000,10535.000000,1.000000,93.000000
51,0.000000,2083653.964574,365820.311583,10744.000000,1.000000,76.000000
52,0.000000,425732.644535,365223.241030,10923.000000,0.000000,76.000000
53,0.000000,741941.203848,365182.327282,11108.000000,2.000000,80.000000
54,0.000000,1288766.324614,365029.405956,11291.000000,0.000000,79.000000
55,0.000000,1260743.872626,364783.064282,11522.000000,0.000000,78.000000
56,0.000000,114352467.161880,3550303.906091,11749.000000,0.000000,76.000000
57,0.000000,794617.179096,364610.502195,11967.000000,0.000000,76.000000
58,0.000000,197943.349633,364553.809303,12146.000000,0.000000,76.000000
59,0.000000,202350.995601,364542.042970,12308.000000,0.000000,76.000000
60,0.000000,292694.454924,364533.807584,12490.000000,1.000000,76.000000
61,0.000000,768183.298326,364474.114355,12746.000000,0.000000,76.000000
62,0.000000,1358815.570958,364355.303425,12977.000000,1.000000,76.000000
63,0.000000,2382119.248842,364010.141337,13243.000000,0.000000,75.000000
64,0.000000,3763981.746426,363176.301457,13497.000000,1.000000,76.000000
65,0.000000,5252460.911735,361210.986532,13694.000000,1.000000,76.000000
66,0.000000,5683407.706303,357676.366107,13902.000000,0.000000,76.000000
67,0.000000,24702090.762486,372697.345912,14124.000000,1.000000,76.000000
68,0.000000,7755488.315008,350185.329313,14302.000000,0.000000,76.000000
69,0.000000,4737418.064325,344841.748515,14497.000000,0.000000,75.000000
70,0.000000,2243198.548356,330320.946736,14846.000000,1.000000,114.000000
71,0.000000,576822.705708,328871.307711,15170.000000,1.000000,107.000000
72,0.000000,80594.857820,328822.014659,15533.000000,1.000000,108.000000
73,0.000000,204978.114418,328816.842575,15801.000000,1.000000,103.000000
74,0.000000,336422.876890,328806.030243,16073.000000,0.000000,104.000000
75,0.000000,334120.429726,328786.097070,16343.000000,0.000000,103.000000
76,0.000000,121308735.869518,4403500.026310,16616.000000,0.000000,102.000000
