Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
1,0.000000,59804445.199123,1426428454446.152344,15.000000,0.000000,8.000000
2,0.000000,39.188045,90.788485,51.000000,1.000000,9.000000
3,0.000000,38.826478,89.569185,80.000000,1.000000,9.000000
4,0.000000,8.260224,11.755714,108.000000,1.000000,9.000000
5,0.000000,5.699794,6.601407,135.000000,1.000000,9.000000
6,0.000000,2.953176,1.840665,165.000000,2.000000,9.000000
7,0.000000,4.273685,1.577989,194.000000,1.000000,9.000000
8,0.000000,1.393934,0.896016,222.000000,2.000000,9.000000
9,0.000000,1.022948,0.713177,250.000000,2.000000,9.000000
10,0.000000,121.589133,6.394777,278.000000,2.000000,9.000000
11,0.000000,1.705394,0.560549,305.000000,1.000000,10.000000
12,0.000000,1.416186,0.545301,332.000000,2.000000,9.000000
13,0.000000,1.238754,0.474212,357.000000,2.000000,9.000000
14,0.000000,1.462021,0.347493,384.000000,2.000000,9.000000
15,0.000000,0.544024,0.275640,412.000000,2.000000,9.000000
16,0.000000,0.427910,0.256179,439.000000,2.000000,9.000000
17,0.000000,4.767343,0.232274,465.000000,2.000000,9.000000
18,0.000000,3.025241,0.216440,491.000000,1.000000,9.000000
19,0.000000,0.676199,0.201381,518.000000,1.000000,9.000000
20,0.000000,1.612461,0.186158,543.000000,1.000000,9.000000
21,0.000000,1.632201,0.178239,568.000000,2.000000,9.000000
22,0.000000,6.181327,0.369374,597.000000,2.000000,9.000000
23,0.000000,4.081871,0.170791,625.000000,2.000000,9.000000
24,0.000000,118.271638,7.948524,652.000000,2.000000,9.000000
25,0.000000,0.527252,0.159542,680.000000,1.000000,10.000000
26,0.000000,0.508046,0.159172,707.000000,1.000000,9.000000
27,0.000000,1.716585,0.136453,733.000000,1.000000,9.000000
28,0.000000,1.339193,0.121292,758.000000,1.000000,9.000000
29,0.000000,0.649677,0.108165,784.000000,2.000000,9.000000
30,0.000000,1.275373,0.101954,809.000000,2.000000,9.000000
