Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
1,0.000000,52459412655167.257812,469062899593973858304.000000,28.000000,1.000000,23.000000
2,0.000000,181556.963890,240735.420792,81.000000,0.000000,18.000000
3,0.000000,177209.771308,229633.230276,128.000000,0.000000,19.000000
4,0.000000,7981.662575,3644.814381,174.000000,1.000000,18.000000
5,0.000000,4518.547884,2939.083754,219.000000,1.000000,17.000000
6,0.000000,2254.108869,2481.110804,264.000000,0.000000,16.000000
7,0.000000,2617.138753,2280.989883,313.000000,1.000000,19.000000
8,0.000000,3844.817006,1484.990623,359.000000,1.000000,18.000000
9,0.000000,2304.172948,1042.858843,405.000000,0.000000,18.000000
10,0.000000,410273.621373,29682.430549,450.000000,0.000000,18.000000
11,0.000000,588.453697,962.373868,493.000000,1.000000,18.000000
12,0.000000,404.727375,959.138801,539.000000,0.000000,19.000000
13,0.000000,418.816112,956.430955,586.000000,1.000000,19.000000
14,0.000000,353.045143,954.139739,631.000000,0.000000,18.000000
15,0.000000,440.360003,940.960885,677.000000,0.000000,19.000000
16,0.000000,449.892836,930.592549,725.000000,0.000000,18.000000
17,0.000000,96036.135798,2493.440921,772.000000,1.000000,19.000000
18,0.000000,433.722914,925.328614,818.000000,0.000000,19.000000
19,0.000000,392.006197,924.474969,864.000000,0.000000,18.000000
20,0.000000,344.774873,920.278559,910.000000,0.000000,19.000000
21,0.000000,532.494376,913.260871,956.000000,0.000000,19.000000
22,0.000000,318.363052,906.445612,1002.000000,0.000000,18.000000
23,0.000000,647.089853,896.349970,1047.000000,0.000000,18.000000
24,0.000000,2155.315630,871.741476,1093.000000,0.000000,18.000000
25,0.000000,45352.735794,1213.844303,1142.000000,0.000000,19.000000
26,0.000000,1799.609529,842.819331,1184.000000,0.000000,18.000000
27,0.000000,1324.534862,833.156076,1230.000000,1.000000,18.000000
28,0.000000,940.740405,817.865009,1275.000000,0.000000,18.000000
29,0.000000,306.288867,805.408585,1320.000000,1.000000,17.000000
30,0.000000,3916.569443,880.009131,1367.000000,1.000000,18.000000
31,0.000000,328.324254,802.212153,1412.000000,0.000000,18.000000
32,0.000000,3695.933862,803.922562,1458.000000,0.000000,18.000000
33,0.000000,554.550976,801.986194,1504.000000,1.000000,18.000000
34,0.000000,452.186559,801.849960,1550.000000,0.000000,19.000000
35,0.000000,1948.456970,797.992622,1593.000000,1.000000,18.000000
36,0.000000,2379.360090,795.245292,1638.000000,1.000000,18.000000
37,0.000000,1219.540248,793.137297,1680.000000,0.000000,18.000000
38,0.000000,349.007729,792.796184,1724.000000,1.000000,18.000000
39,0.000000,264.976521,792.709410,1769.000000,0.000000,18.000000
40,0.000000,459.133592,792.655329,1815.000000,1.000000,18.000000
41,0.000000,913.476248,792.466931,1860.000000,0.000000,18.000000
42,0.000000,1413.552924,792.089327,1906.000000,0.000000,18.000000
43,0.000000,1699.573141,791.413172,1951.000000,1.000000,18.000000
44,0.000000,1171.837079,790.432211,1998.000000,1.000000,18.000000
45,0.000000,358.493299,789.806208,2044.000000,0.000000,19.000000
46,0.000000,484.527274,789.577213,2090.000000,0.000000,17.000000
47,0.000000,645.441933,789.336792,2135.000000,1.000000,18.000000
48,0.000000,328.941965,788.971533,2182.000000,0.000000,18.000000
49,0.000000,844.505530,789.108819,2228.000000,0.000000,18.000000
50,0.000000,643.313517,788.643033,2273.000000,1.000000,18.000000
51,0.000000,387.655011,788.551675,2319.000000,0.000000,19.000000
52,0.000000,112.102780,788.366535,2364.000000,0.000000,18.000000
53,0.000000,450.980671,788.073305,2410.000000,1.000000,18.000000
54,0.000000,611.954834,787.791702,2454.000000,0.000000,17.000000
55,0.000000,579.085858,787.464673,2500.000000,0.000000,18.000000
56,0.000000,4945.395504,796.957580,2546.000000,1.000000,18.000000
57,0.000000,324.989178,786.845601,2591.000000,0.000000,18.000000
58,0.000000,279.807184,786.526822,2637.000000,1.000000,18.000000
59,0.000000,716.005083,783.684034,2682.000000,0.000000,18.000000
60,0.000000,6050.324996,794.810656,2729.000000,1.000000,19.000000
61,0.000000,81.758352,783.572791,2774.000000,0.000000,18.000000
62,0.000000,73.497778,783.567600,2816.000000,0.000000,18.000000
63,0.000000,85.516859,783.549617,2861.000000,0.000000,18.000000
64,0.000000,56.012870,783.526691,2904.000000,0.000000,18.000000
65,0.000000,49.349961,783.510569,2950.000000,0.000000,18.000000
66,0.000000,67.943610,783.457790,2996.000000,1.000000,19.000000
67,0.000000,53.773801,783.361510,3040.000000,0.000000,17.000000
68,0.000000,5434.751038,788.671217,3086.000000,1.000000,18.000000
69,0.000000,127.332307,783.194992,3131.000000,0.000000,18.000000
70,0.000000,80.445681,783.137832,3177.000000,0.000000,17.000000
